$$Name$Catalog.Code$ParentCategory.Name,Catalog.Name,Code,Description,Name,ParentCategory.$$Name$Catalog.Code$ParentCategory.Name,SortOrder
Laptops;HC001,Hardware Catalog,,,Laptops,,
Desktops;HC001,Hardware Catalog,,,Desktops,,
Accessories;HC001,Hardware Catalog,,,Accessories,,
Protection Software;SF001,Software Catalog,,,Protection Software,,
Support;SC001,Service Catalog,,,Support,,
Training;SC001,Service Catalog,,,Training,,
Warranty;SC001,Service Catalog,,,Warranty,,
Cloud Services;SC001,Service Catalog,,,Cloud Services,,
Productivity Software;SF001,Software Catalog,,,Productivity Software,,
Podcast;MED001,Media Catalog,,,Podcast,,
Phone Plans;SC001,Service Catalog,,,Phone Plans,,
Surveillance;SC001,Service Catalog,,,Surveillance,,
Thermal Compounds;TMC009893,Thermal Management Catalog,TCUI456I,,Thermal Compounds,,
Professional Services;SC001,Service Catalog,,,Professional Services,,
