"Id","Code","Description","IsNavigational","Name","SortOrder","CatalogId","Errors"
"0ZGO50000005sEHOAY","Additives & Catalysts","Substances added in small amounts to enhance or modify chemical reactions or product properties.","true","Additives & Catalysts","50","0ZSO50000004pAPOAY","#N/A"
"0ZGO50000005sEIOAY","Base Chemicals","Fundamental chemical compounds used as building blocks in various industrial processes.","true","Base Chemicals","10","0ZSO50000004pAPOAY","#N/A"
"0ZGO50000005sEJOAY","Industrial Solvents","Liquids used to dissolve, suspend, or extract materials.","true","Industrial Solvents","40","0ZSO50000004pAPOAY","#N/A"
"0ZGO50000005sEKOAY","Polymers & Resins","Materials used in plastics, coatings, and adhesives.","true","Polymers & Resins","30","0ZSO50000004pAPOAY","#N/A"
"0ZGO50000005sELOAY","Specialty Chemicals","High-value, custom-formulated chemicals tailored for specific applications.","true","Specialty Chemicals","20","0ZSO50000004pAPOAY","#N/A"
"0ZGO50000005sEMOAY","Attachments","#N/A","true","Attachments","60","0ZSO50000004pAQOAY","#N/A"
"0ZGO50000005sENOAY","Equipment","#N/A","true","Equipment","20","0ZSO50000004pAQOAY","#N/A"
"0ZGO50000005sEOOAY","Lubricants","#N/A","true","Lubricants","10","0ZSO50000004pAQOAY","#N/A"
"0ZGO50000005sEPOAY","Replacement Parts","#N/A","true","Replacement Parts","50","0ZSO50000004pAQOAY","#N/A"
"0ZGO50000005sEQOAY","Rippers","#N/A","true","Rippers","70","0ZSO50000004pAQOAY","#N/A"
"0ZGO50000005sEROAY","Service Contracts","#N/A","true","Service Contracts","90","0ZSO50000004pAQOAY","#N/A"
"0ZGO50000005sESOAY","Trenchers","#N/A","true","Trenchers","80","0ZSO50000004pAQOAY","#N/A"
"0ZGO50000005sETOAY","Excavators","#N/A","true","Excavators","40","0ZSO50000004pAQOAY","#N/A"
"0ZGO50000005sEUOAY","Skid Steers","#N/A","true","Skid Steers","30","0ZSO50000004pAQOAY","#N/A"
"0ZGO50000005sEVOAY","Adhesives, Sealants & Tapes","#N/A","true","Adhesives, Sealants & Tapes","5","0ZSO50000004pAROAY","#N/A"
"0ZGO50000005sEWOAY","Bearings & Bushings","#N/A","true","Bearings & Bushings","2","0ZSO50000004pAROAY","#N/A"
"0ZGO50000005sEXOAY","Chains & Sprockets","#N/A","true","Chains & Sprockets","3","0ZSO50000004pAROAY","#N/A"
"0ZGO50000005sEYOAY","Couplings","#N/A","true","Couplings","1","0ZSO50000004pAROAY","#N/A"
"0ZGO50000005sEZOAY","Industrial Motors & Controls","#N/A","true","Industrial Motors & Controls","6","0ZSO50000004pAROAY","#N/A"
"0ZGO50000005sEaOAI","Kits","#N/A","true","Kits","7","0ZSO50000004pAROAY","#N/A"
"0ZGO50000005sEbOAI","Pneumatics & Hydraulics","#N/A","true","Pneumatics & Hydraulics","4","0ZSO50000004pAROAY","#N/A"
"0ZGO50000005sEcOAI","Batteries","#N/A","true","Batteries","40","0ZSO50000004pASOAY","#N/A"
"0ZGO50000005sEdOAI","Connectivity","#N/A","true","Connectivity","50","0ZSO50000004pASOAY","#N/A"
"0ZGO50000005sEeOAI","Fuel Cells","#N/A","true","Fuel Cells","30","0ZSO50000004pASOAY","#N/A"
"0ZGO50000005sEfOAI","Generators","#N/A","true","Generators","10","0ZSO50000004pASOAY","#N/A"
"0ZGO50000005sEgOAI","Solar Panels","#N/A","true","Solar Panels","20","0ZSO50000004pASOAY","#N/A"
"0ZGO50000005sEhOAI","Switchgears","#N/A","true","Switchgears","6","0ZSO50000004pASOAY","#N/A"
"0ZGO50000005sEiOAI","Tiers","#N/A","true","Tiers","1","0ZSO50000004pATOAY","#N/A"
"0ZGO50000005sEjOAI","Warranty","#N/A","true","Warranty","2","0ZSO50000004pATOAY","#N/A"
