"Id","AttributeDefinitionId","AttributeCategoryId","Errors"
"11EO5000004GqZpMAK","0tjO50000001TWOIA2","0v3O50000001t5hIAA","#N/A"
"11EO5000004GqZqMAK","0tjO50000001TWQIA2","0v3O50000001t5hIAA","#N/A"
"11EO5000004GqZrMAK","0tjO50000001TWRIA2","0v3O50000001t5hIAA","#N/A"
"11EO5000004GqZsMAK","0tjO50000001TWSIA2","0v3O50000001t5hIAA","#N/A"
"11EO5000004GqZtMAK","0tjO50000001TWaIAM","0v3O50000001t5hIAA","#N/A"
"11EO5000004GqZuMAK","0tjO50000001TWgIAM","0v3O50000001t5hIAA","#N/A"
"11EO5000004GqZvMAK","0tjO50000001TWGIA2","0v3O50000001t5iIAA","#N/A"
"11EO5000004GqZwMAK","0tjO50000001TWdIAM","0v3O50000001t5jIAA","#N/A"
"11EO5000004GqZxMAK","0tjO50000001TWHIA2","0v3O50000001t5kIAA","#N/A"
"11EO5000004GqZyMAK","0tjO50000001TWDIA2","0v3O50000001t5lIAA","#N/A"
"11EO5000004GqZzMAK","0tjO50000001TWcIAM","0v3O50000001t5lIAA","#N/A"
"11EO5000004Gqa0MAC","0tjO50000001TWeIAM","0v3O50000001t5lIAA","#N/A"
"11EO5000004Gqa1MAC","0tjO50000001TWfIAM","0v3O50000001t5lIAA","#N/A"
"11EO5000004Gqa2MAC","0tjO50000001TWTIA2","0v3O50000001t5mIAA","#N/A"
"11EO5000004Gqa3MAC","0tjO50000001TWUIA2","0v3O50000001t5mIAA","#N/A"
"11EO5000004Gqa4MAC","0tjO50000001TWPIA2","0v3O50000001t5nIAA","#N/A"
"11EO5000004Gqa5MAC","0tjO50000001TWiIAM","0v3O50000001t5nIAA","#N/A"
"11EO5000004Gqa6MAC","0tjO50000001TWEIA2","0v3O50000001t5oIAA","#N/A"
"11EO5000004Gqa7MAC","0tjO50000001TWFIA2","0v3O50000001t5oIAA","#N/A"
"11EO5000004Gqa8MAC","0tjO50000001TWYIA2","0v3O50000001t5oIAA","#N/A"
"11EO5000004Gqa9MAC","0tjO50000001TWZIA2","0v3O50000001t5oIAA","#N/A"
"11EO5000004GqaAMAS","0tjO50000001TWhIAM","0v3O50000001t5oIAA","#N/A"
"11EO5000004GqaBMAS","0tjO50000001TWjIAM","0v3O50000001t5oIAA","#N/A"
