"Id","Code","Name","Status","Errors"
"11BO500000O1Xu1MAF","Buckets PC","Buckets PC","Active","#N/A"
"11BO500000O1Xu2MAF","Control PC","Control PC","Active","#N/A"
"11BO500000O1Xu3MAF","Fuel Cell PC","Fuel Cell","Active","#N/A"
"11BO500000O1Xu4MAF","Generator Set PC","Generator Set PC","Active","#N/A"
"11BO500000O1Xu5MAF","MainAlternator","Main Alternator","Active","#N/A"
"11BO500000O1Xu6MAF","MiscGen","Generator Misc","Active","#N/A"
"11BO500000O1Xu7MAF","Model PC","Model PC","Active","#N/A"
"11BO500000O1Xu8MAF","Skid Steer PC","Skid Steer PC","Active","#N/A"
"11BO500000O1Xu9MAF","SWG","Switchgear","Active","#N/A"
"11BO500000O1XuAMAV","Switchgear Bay","Switchgear Bay","Active","#N/A"
"11BO500000O1XuBMAV","Voltage PC","Voltage PC","Active","#N/A"
