"Id","IsPrimaryCategory","ProductId","ProductCategoryId","Errors"
"0ZRO5000000O7BdOAK","false","01tO500000apxidIAA","0ZGO50000005sEHOAY","#N/A"
"0ZRO5000000O7BeOAK","false","01tO500000apxieIAA","0ZGO50000005sEHOAY","#N/A"
"0ZRO5000000O7BfOAK","false","01tO500000aq03HIAQ","0ZGO50000005sEHOAY","#N/A"
"0ZRO5000000O7BgOAK","false","01tO500000aq03QIAQ","0ZGO50000005sEHOAY","#N/A"
"0ZRO5000000O7BhOAK","false","01tO500000aq03RIAQ","0ZGO50000005sEHOAY","#N/A"
"0ZRO5000000O7BiOAK","false","01tO500000apzzLIAQ","0ZGO50000005sEMOAY","#N/A"
"0ZRO5000000O7BjOAK","false","01tO500000aq02pIAA","0ZGO50000005sEMOAY","#N/A"
"0ZRO5000000O7BkOAK","false","01tO500000aq03UIAQ","0ZGO50000005sEMOAY","#N/A"
"0ZRO5000000O7BlOAK","false","01tO500000aq02rIAA","0ZGO50000005sEIOAY","#N/A"
"0ZRO5000000O7BmOAK","false","01tO500000aq02sIAA","0ZGO50000005sEIOAY","#N/A"
"0ZRO5000000O7BnOAK","false","01tO500000aq030IAA","0ZGO50000005sEIOAY","#N/A"
"0ZRO5000000O7BoOAK","false","01tO500000aq031IAA","0ZGO50000005sEIOAY","#N/A"
"0ZRO5000000O7BpOAK","false","01tO500000aq032IAA","0ZGO50000005sEIOAY","#N/A"
"0ZRO5000000O7BqOAK","false","01tO500000apxihIAA","0ZGO50000005sEWOAY","#N/A"
"0ZRO5000000O7BrOAK","false","01tO500000apxiiIAA","0ZGO50000005sEWOAY","#N/A"
"0ZRO5000000O7BsOAK","false","01tO500000apxijIAA","0ZGO50000005sEWOAY","#N/A"
"0ZRO5000000O7BtOAK","false","01tO500000apxikIAA","0ZGO50000005sEXOAY","#N/A"
"0ZRO5000000O7BuOAK","false","01tO500000apxilIAA","0ZGO50000005sEXOAY","#N/A"
"0ZRO5000000O7BvOAK","false","01tO500000apximIAA","0ZGO50000005sEYOAY","#N/A"
"0ZRO5000000O7BwOAK","false","01tO500000apxinIAA","0ZGO50000005sEYOAY","#N/A"
"0ZRO5000000O7BxOAK","false","01tO500000apxioIAA","0ZGO50000005sEYOAY","#N/A"
"0ZRO5000000O7ByOAK","false","01tO500000apxipIAA","0ZGO50000005sEYOAY","#N/A"
"0ZRO5000000O7BzOAK","false","01tO500000apxiMIAQ","0ZGO50000005sENOAY","#N/A"
"0ZRO5000000O7C0OAK","false","01tO500000aq02lIAA","0ZGO50000005sEeOAI","#N/A"
"0ZRO5000000O7C1OAK","false","01tO500000apxicIAA","0ZGO50000005sEfOAI","#N/A"
"0ZRO5000000O7C2OAK","false","01tO500000apzzIIAQ","0ZGO50000005sEfOAI","#N/A"
"0ZRO5000000O7C3OAK","false","01tO500000aq02jIAA","0ZGO50000005sEfOAI","#N/A"
"0ZRO5000000O7C4OAK","false","01tO500000aq02mIAA","0ZGO50000005sEfOAI","#N/A"
"0ZRO5000000O7C5OAK","false","01tO500000apxiqIAA","0ZGO50000005sEZOAY","#N/A"
"0ZRO5000000O7C6OAK","false","01tO500000apzzBIAQ","0ZGO50000005sEZOAY","#N/A"
"0ZRO5000000O7C7OAK","false","01tO500000apzzCIAQ","0ZGO50000005sEZOAY","#N/A"
"0ZRO5000000O7C8OAK","false","01tO500000apxiaIAA","0ZGO50000005sEJOAY","#N/A"
"0ZRO5000000O7C9OAK","false","01tO500000apxibIAA","0ZGO50000005sEJOAY","#N/A"
"0ZRO5000000O7CAOA0","false","01tO500000aq03SIAQ","0ZGO50000005sEJOAY","#N/A"
"0ZRO5000000O7CBOA0","false","01tO500000aq03TIAQ","0ZGO50000005sEJOAY","#N/A"
"0ZRO5000000O7CCOA0","false","01tO500000aq03XIAQ","0ZGO50000005sEJOAY","#N/A"
"0ZRO5000000O7CDOA0","false","01tO500000aq03YIAQ","0ZGO50000005sEJOAY","#N/A"
"0ZRO5000000O7CEOA0","false","01tO500000apxipIAA","0ZGO50000005sEaOAI","#N/A"
"0ZRO5000000O7CFOA0","false","01tO500000apxiqIAA","0ZGO50000005sEaOAI","#N/A"
"0ZRO5000000O7CGOA0","false","01tO500000aq03NIAQ","0ZGO50000005sEOOAY","#N/A"
"0ZRO5000000O7CHOA0","false","01tO500000apzzDIAQ","0ZGO50000005sEbOAI","#N/A"
"0ZRO5000000O7CIOA0","false","01tO500000apzzEIAQ","0ZGO50000005sEbOAI","#N/A"
"0ZRO5000000O7CJOA0","false","01tO500000apxifIAA","0ZGO50000005sEKOAY","#N/A"
"0ZRO5000000O7CKOA0","false","01tO500000apxigIAA","0ZGO50000005sEKOAY","#N/A"
"0ZRO5000000O7CLOA0","false","01tO500000apzzOIAQ","0ZGO50000005sEKOAY","#N/A"
"0ZRO5000000O7CMOA0","false","01tO500000apzzPIAQ","0ZGO50000005sEKOAY","#N/A"
"0ZRO5000000O7CNOA0","false","01tO500000aq03JIAQ","0ZGO50000005sEKOAY","#N/A"
"0ZRO5000000O7COOA0","false","01tO500000apxiNIAQ","0ZGO50000005sEPOAY","#N/A"
"0ZRO5000000O7CPOA0","false","01tO500000apxiOIAQ","0ZGO50000005sEPOAY","#N/A"
"0ZRO5000000O7CQOA0","false","01tO500000apzzNIAQ","0ZGO50000005sEPOAY","#N/A"
"0ZRO5000000O7CROA0","false","01tO500000aq03MIAQ","0ZGO50000005sEPOAY","#N/A"
"0ZRO5000000O7CSOA0","false","01tO500000aq03OIAQ","0ZGO50000005sEROAY","#N/A"
"0ZRO5000000O7CTOA0","false","01tO500000apxiMIAQ","0ZGO50000005sEUOAY","#N/A"
"0ZRO5000000O7CUOA0","false","01tO500000apzzFIAQ","0ZGO50000005sELOAY","#N/A"
"0ZRO5000000O7CVOA0","false","01tO500000apzzGIAQ","0ZGO50000005sELOAY","#N/A"
"0ZRO5000000O7CWOA0","false","01tO500000apzzJIAQ","0ZGO50000005sELOAY","#N/A"
"0ZRO5000000O7CXOA0","false","01tO500000apzzKIAQ","0ZGO50000005sELOAY","#N/A"
"0ZRO5000000O7CYOA0","false","01tO500000aq03VIAQ","0ZGO50000005sELOAY","#N/A"
"0ZRO5000000O7CZOA0","false","01tO500000aq03IIAQ","0ZGO50000005sEhOAI","#N/A"
"0ZRO5000000O7CaOAK","false","01tO500000aq03OIAQ","0ZGO50000005sEiOAI","#N/A"
"0ZRO5000000O7CbOAK","false","01tO500000apzzQIAQ","0ZGO50000005sEjOAI","#N/A"
