"Id","AttributeNameOverride","DefaultValue","Description","DisplayType","HelpText","IsHidden","IsPriceImpacting","IsReadOnly","IsRequired","MaximumCharacterCount","MaximumValue","MinimumCharacterCount","MinimumValue","Name","Sequence","Status","StepValue","ValueDescription","AttributeDefinitionId","AttributeCategoryId","ProductClassificationAttributeId","Product2Id","Errors"
"0v7O50000002oiHIAQ","Engine","50 Hp","#N/A","#N/A","#N/A","false","true","false","false","#N/A","#N/A","#N/A","#N/A","Engine","#N/A","Active","#N/A","#N/A","0tjO50000001TWPIA2","0v3O50000001t5nIAA","11CO5000017Pwr1MAC","01tO500000apxiMIAQ","#N/A"
"0v7O50000002oiIIAQ","powerkW","1200","#N/A","#N/A","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","powerkW","#N/A","Active","#N/A","#N/A","0tjO50000001TWXIA2","#N/A","11CO5000017PwqzMAC","01tO500000apzzSIAQ","#N/A"
"0v7O50000002oiJIAQ","powerkW","1500","#N/A","#N/A","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","powerkW","#N/A","Active","#N/A","#N/A","0tjO50000001TWXIA2","#N/A","11CO5000017PwqzMAC","01tO500000apzzTIAQ","#N/A"
"0v7O50000002oiKIAQ","powerkW","1750","#N/A","#N/A","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","powerkW","#N/A","Active","#N/A","#N/A","0tjO50000001TWXIA2","#N/A","11CO5000017PwqzMAC","01tO500000apzzUIAQ","#N/A"
"0v7O50000002oiLIAQ","powerkW","2500","#N/A","#N/A","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","powerkW","#N/A","Active","#N/A","#N/A","0tjO50000001TWXIA2","#N/A","11CO5000017PwqzMAC","01tO500000apzzVIAQ","#N/A"
"0v7O50000002oiMIAQ","powerkW","900","#N/A","#N/A","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","powerkW","#N/A","Active","#N/A","#N/A","0tjO50000001TWXIA2","#N/A","11CO5000017PwqzMAC","01tO500000apzzaIAA","#N/A"
"0v7O50000002oiNIAQ","Voltage","277/480","#N/A","#N/A","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","Voltage","#N/A","Active","#N/A","#N/A","0tjO50000001TWSIA2","0v3O50000001t5hIAA","11CO5000017PwrBMAS","01tO500000aq02WIAQ","#N/A"
"0v7O50000002oiOIAQ","Voltage","240/416","#N/A","#N/A","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","Voltage","#N/A","Active","#N/A","#N/A","0tjO50000001TWSIA2","0v3O50000001t5hIAA","11CO5000017PwrBMAS","01tO500000aq02XIAQ","#N/A"
"0v7O50000002oiPIAQ","Voltage","255/440","#N/A","#N/A","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","Voltage","#N/A","Active","#N/A","#N/A","0tjO50000001TWSIA2","0v3O50000001t5hIAA","11CO5000017PwrBMAS","01tO500000aq02YIAQ","#N/A"
"0v7O50000002oiQIAQ","Voltage","220/380","#N/A","#N/A","#N/A","false","false","false","false","#N/A","#N/A","#N/A","#N/A","Voltage","#N/A","Active","#N/A","#N/A","0tjO50000001TWSIA2","0v3O50000001t5hIAA","11CO5000017PwrBMAS","01tO500000aq02ZIAQ","#N/A"
