Description,DeveloperName,Language,MasterLabel,NamespacePrefix,UsageType
,Contract,en_US,Contract,,ContractClauseCategory
,Retail,en_US,Retail,,ContractClauseCategory
,Payment_Term,en_US,Payment Term,,ContractClauseCategory
,Pricebook,en_US,Pricebook,,ContractClauseCategory
,Special_Pricing,en_US,Special Pricing,,ContractClauseCategory
,Definitions,en_US,Definitions,,ContractClauseCategory
,Responsibilities,en_US,Responsibilities,,ContractClauseCategory
,Use_of_Service,en_US,Use of Service,,ContractClauseCategory
,Fees_Payment,en_US,Fees & Payment,,ContractClauseCategory
,Confidentiality,en_US,Confidentiality,,ContractClauseCategory
,Representation_Warranties,en_US,Representation & Warranties,,ContractClauseCategory
,Indemnification,en_US,Indemnification,,ContractClauseCategory
,Limits_of_Liability,en_US,Limits of Liability,,ContractClauseCategory
,Terms_Termination,en_US,Terms & Termination,,ContractClauseCategory
,Force_Majeure,en_US,Force Majeure,,ContractClauseCategory
,General_Provisions,en_US,General Provisions,,ContractClauseCategory
