"Id","IsPrimaryCategory","ProductCategory.Code","Product.StockKeepingUnit","Catalog.Code","ProductId","ProductCategoryId"
"SKQOI0CCDJ7KXDVHQQ","false","Additives & Catalysts","AO-1000-25KG","Badger Chemicals","FY1ZQVRU2MAIHNPHNC","NBCYJ9YKQPUHEHQL3Y"
"F7VDHINIQQC7UDHE33","false","Additives & Catalysts","AO-1000-50KG","Badger Chemicals","NHIKWVIWGIOP14QXE1","NBCYJ9YKQPUHEHQL3Y"
"3KZSH9Y4LS0CDCB8JE","false","Additives & Catalysts","PC-500-5KG","Badger Chemicals","2AREJDIM0Y1UOSTK9Q","NBCYJ9YKQPUHEHQL3Y"
"ELOEBLMLEHIOHQGLWS","false","Additives & Catalysts","TiO2-500-1000KG","Badger Chemicals","CMB9VDH0KZ0SQJBH8A","NBCYJ9YKQPUHEHQL3Y"
"8JDXGSMPVECUXG7IL2","false","Additives & Catalysts","TiO2-500-25KG","Badger Chemicals","EQXBU3GQQV3RTMDGSJ","NBCYJ9YKQPUHEHQL3Y"
"RGRVERSOTFWFADCGY9","false","Attachments","DIRT-BUCKET","Badger Equipment Catalog","8SASYPEK4MUQTJDNYX","VVVENYWPPFLZS12Y5B"
"YAPEJW4X4SAXG53PHR","false","Attachments","GP-Bucket","Badger Equipment Catalog","3SULEJSEQ0KLZXMYPB","VVVENYWPPFLZS12Y5B"
"MF7FDMHX7ZHP11CQ06","false","Attachments","TRENCHING-BUCKET","Badger Equipment Catalog","HAVSKW7AEOFFZJMWHU","VVVENYWPPFLZS12Y5B"
"55YEY7OI57CTJIGVSO","false","Base Chemicals","H2SO4-1000L-IBC","Badger Chemicals","ANEZOWSZZAUKDYHFGD","EATL8BOOHVGGWHZ2DA"
"54EIJ4FHYP0NTRE7JR","false","Base Chemicals","H2SO4-200L-DR","Badger Chemicals","OOCFXXXZUHRWXBZ21G","EATL8BOOHVGGWHZ2DA"
"XX0IIOO5BAUTH8AWQX","false","Base Chemicals","NaOH-25KG","Badger Chemicals","VBWU4SJE87VGXZLONA","EATL8BOOHVGGWHZ2DA"
"MVB0BSRREOY4B8B5TQ","false","Base Chemicals","NaOH-50KG","Badger Chemicals","ZCLLDJWQHXYXBSIWNY","EATL8BOOHVGGWHZ2DA"
"KZBQVOHUVQ3KGINSYX","false","Base Chemicals","NH3-CYL","Badger Chemicals","LD00BN9YKICQSJYLNU","EATL8BOOHVGGWHZ2DA"
"RALGGMUPHWIJW6WYP1","false","Bearings & Bushings","BG-BRG-7001","Badger Industrials","SQSGDVVQGBBIOT7MSV","HCZHHYNTMK7RKTESBF"
"E2QT9UAH00FICVURWI","false","Bearings & Bushings","BG-BRG-7002","Badger Industrials","F5OB7W1B07UKTR5LET","HCZHHYNTMK7RKTESBF"
"Z7UQ03JLUTG00N9I7R","false","Bearings & Bushings","BG-BRG-7003","Badger Industrials","UA08QGZP3BFLCXWLNQ","HCZHHYNTMK7RKTESBF"
"Q5BWEKZSDJSAUYFVCB","false","Chains & Sprockets","BG-CHS-8001","Badger Industrials","8EJVCFTYHGPS3ZWFEZ","IABWFUHTSHCS76BVMF"
"ZGEJUKTIFS8DA9QSQT","false","Chains & Sprockets","BG-CHS-8002","Badger Industrials","S9LKMION4LP2BBQSYB","IABWFUHTSHCS76BVMF"
"BJHNCVZZLXYVGOEVTF","false","Couplings","BG-CPL-6001","Badger Industrials","V7WH72S7BG2UR8W5EH","4V9P2P4V06XOGCO6QG"
"WIZX8DIJBFMLEMSPWX","false","Couplings","BG-CPL-6002","Badger Industrials","FPLDJZRTHPP7TQ7LPP","4V9P2P4V06XOGCO6QG"
"AJDCWP0J8DRLRRBGWJ","false","Couplings","BG-CPL-6003","Badger Industrials","D8D0JCHZXJCIS0SIHL","4V9P2P4V06XOGCO6QG"
"G5X7A5JUS3GIUXKX8W","false","Couplings","BG-KIT-CPL95","Badger Industrials","4VGCBYAXOHQY3J8KOR","4V9P2P4V06XOGCO6QG"
"AV6S8QSF8IG8MFSZOV","false","Equipment","414LP-KAA-E-SSL","Badger Equipment Catalog","6FHYB4CMZ0LPLC4WUN","DD4PFLSVSESCDYWL0J"
"5DCT9928JMSCRPBNVA","false","Fuel Cells","FUCEL","GeneratorCatalog","ABTWDPHWZVIMYPBZGK","BIFRKWWQUVX9UDD5RE"
