"Id","DataType","Description","Name","Status","UnitOfMeasure.UnitCode","UnitOfMeasureId"
"7AI9TSIXB6IFTGMQER","Text","#N/A","applicationEmissionCertification","Active","#N/A","#N/A"
"SJXTDQBZJJ4HIZYK2P","Text","#N/A","Bucket_Size","Active","#N/A","#N/A"
"3KAPWE6I3EIGZP70Q3","Text","#N/A","Cooling Method","Active","#N/A","#N/A"
"BKAOHVSEAPDXBTWPMA","Text","#N/A","DC_Voltage","Active","#N/A","#N/A"
"NTS0XNJBJE0VVVNSBL","Text","#N/A","DutyRating","Active","#N/A","#N/A"
"4CNRWCKDVMUB4HDDNX","Text","#N/A","Entrance Types","Active","#N/A","#N/A"
"R1L1CLIK8OOTDWR5NR","Text","#N/A","Equipment Power","Active","#N/A","#N/A"
"FN3NVBSTOLE8DNVWHG","Text","#N/A","Fuel Type","Active","#N/A","#N/A"
"YW3JRIPURDV355LKDI","Text","#N/A","gc_certificate","Active","#N/A","#N/A"
"DPB1IP0VLT0T42RDCR","Text","#N/A","Languages","Active","#N/A","#N/A"
"TVJLIYB4UGE0GC3ZYG","Text","#N/A","Power","Active","#N/A","#N/A"
"TOV0ZUOFNYBRTHHTSU","Text","#N/A","Power Output Picklist","Active","#N/A","#N/A"
"EBIX3D64DKQIFQR0TC","Text","#N/A","Ripper_Size","Active","#N/A","#N/A"
"AIHBNLQSEODQ9OC3VO","Text","#N/A","seismicCertification","Active","#N/A","#N/A"
"EMBGIOPZ51FM0XPK58","Text","#N/A","SpecialApplication","Active","#N/A","#N/A"
"AYXBWKQQWQXXD5OBFY","Text","#N/A","standardsAndCompliance","Active","#N/A","#N/A"
"74MXQ0FH1HZCDHHMSU","Text","#N/A","Transmission","Active","#N/A","#N/A"
"HTGUKZWNPJFMCNHLNQ","Text","#N/A","Voltage","Active","#N/A","#N/A"
