"Id","AttributeCategory.Code","AttributeDefinition.Code","AttributeDefinitionId","AttributeCategoryId"
"EJ0HMZ3N1XCWEHQ3KA","Application","Duty Rating","QZXHENP7GMLJLREZVJ","XPSUXWDNALVUKIU4T1"
"9C68JETQW7EBR6OSVP","Application","FB_Full Load Required (kW)","QXMT8JX2IKHVPEOYRU","XPSUXWDNALVUKIU4T1"
"RX94IKLIQ65NCODD0R","Application","FB_max dB level","HGJY31H67NXEOWCG63","XPSUXWDNALVUKIU4T1"
"DN26QUDWDAKNG0VIAM","Application","FB_Voltage","C1HFY7OQTT4LCXZOLA","XPSUXWDNALVUKIU4T1"
"UDTHMKM8MMVXFTCWGF","Application","Reserve Capacity (kW)","1UG0OXOVDRTD0WWRVJ","XPSUXWDNALVUKIU4T1"
"METSF2RJKRTP2PBIJL","Application","Surge Load (kW)","DS3U3PQVMWHPZ9KZFA","XPSUXWDNALVUKIU4T1"
"UNQPU9LPHFSP5NYCWX","Bay AC","Bay Number","SAYSVTZP43HXSOKPWH","V5B0V9IEI2NLVHTFFP"
"FFPGRQHKBVFCBQHLDB","Bucket Size_AC","Size_AD","FIODYNWYOGEGXDR9XE","BJSLC2DU7A6QBZBPW8"
"WVTLOD2H1CRTWYGHUX","Cabin_AC","Cabin_Enclosure_AD","IWVXHYW5OVMHE2WKUS","PJ4M4UTS5J5OUOYHG1"
"GBTMJBTYXG1JCOYTFC","Environment","Application/Emission Certification","CWB4ZZJNHXDYENRZGO","PQVFZ2ZVL7GNOTQGF2"
"D3C630WWPDJZRTLOXJ","Environment","Seismic Certification","HKUICSQCN0FBNLJFUR","PQVFZ2ZVL7GNOTQGF2"
"EDPOALMTAV8FQRA5BT","Environment","Special Application","Y5AJPGTZ0CYBW67JWY","PQVFZ2ZVL7GNOTQGF2"
"EMY3DVMBWUNL9HBWYT","Environment","Standards and Compliance","AWKKXDGMNRWCSKE1MY","PQVFZ2ZVL7GNOTQGF2"
"UQIVHGEBAILH8KZV6B","Fuel Cell AC","Fuel Type AD","8YPCTG1OI4YTZN7MZJ","KC0QNLWXCXEJ8UTJZ2"
"RETOYHHBEEXVS2PZLG","Fuel Cell AC","gc_certificate","GWWOHKWDGJ2L9A0IFC","KC0QNLWXCXEJ8UTJZ2"
"XCTFSMNWIES8TEMIR5","Power Train_AC","Engine_AD","KCAA62K8XUGXRWNSSI","L6I1MPQXS6LMBHWENG"
"UJOOC0UQO4DH0XTRVB","Power Train_AC","Transmission_AD","ADAZDWF1ODYY9WQXWB","L6I1MPQXS6LMBHWENG"
"FTLZP4DQUI2VHURQUU","Switchgear AC","Assetized Low Voltage Generators","CK8N1Z0AL1J8S5URLN","XWMAG55WQ7TGJMB7QH"
"BJJEVBFGI2ZI1PIYXG","Switchgear AC","Assetized Medium Voltage Generators","MTNG4C0GFIHQLU5SQC","XWMAG55WQ7TGJMB7QH"
"JVCPYPZOKW4TASPDON","Switchgear AC","Quoted Low Voltage Generators","MVETF0H3JDCQFCRSFT","XWMAG55WQ7TGJMB7QH"
"H34S3IXJESTFRSWFUL","Switchgear AC","Quoted Medium Voltage Generators","NT8YGKMS3YSIF6CNZS","XWMAG55WQ7TGJMB7QH"
"F0875PMEWCP9X5XTXX","Switchgear AC","Total Power Required (kW)","8UBWMAIOQMHYJJ8WMW","XWMAG55WQ7TGJMB7QH"
"PRV8FZ6HNTBT6WZIWG","Switchgear AC","Use Assets","S2ER4KRSRITKOYHMNM","XWMAG55WQ7TGJMB7QH"
