"Id","DisplayUrl","Name","StockKeepingUnit"
"9WS124GL2UCIBKBG6D","/resource/RLM_customer_snowflake_logo_sq","Snowflake — Standard Edition","SF-EDU-STD"
"ZUWYQXH5MODHWQXFZE","/resource/RLM_customer_snowflake_logo_sq","Snowflake — Enterprise Edition","SF-EDU-ENT"
"YRMXVOO0F6GRBSNTXX","/resource/RLM_customer_snowflake_logo_sq","Snowflake — Business Critical Edition","SF-EDU-BC"
"FVB9FWIGTGP8MUE5KM","/resource/RLM_customer_snowflake_logo_sq","Snowflake — Virtual Private Snowflake","SF-EDU-VPS"
"YNTLPP0HMYN1BKUFBH","/resource/RLM_customer_snowflake_logo_sq","Snowflake — Standard Success","SF-SUP-STD"
"HKTQJB8O6OH5KJJV35","/resource/RLM_customer_snowflake_logo_sq","Snowflake — Premier Success","SF-SUP-PREM"
"NQTAZSDMXVLKUSITHM","/resource/RLM_customer_snowflake_logo_sq","Snowflake — Starter Success Bundle","SF-BND-STARTER"
"UEQK43EYAR1ZPIZ2TM","/resource/RLM_customer_snowflake_logo_sq","Snowflake — Growth Premier Bundle","SF-BND-GROWTH"
"EURJGCV1C7ET6XU4QD","/resource/RLM_customer_snowflake_logo_sq","Snowflake — Quickstart Onboarding","SF-SVC-ONBOARD"
"KS8KLZ6GBM2NEFGT52","/resource/RLM_customer_snowflake_logo_sq","Snowflake — Metered Optimized Storage","SF-USG-STORAGE"
"NPHHKHWMGDVDDLTVBT","/resource/RLM_customer_snowflake_logo_sq","Snowflake — Metered Data Egress","SF-USG-EGRESS"
"62IPJAABCHVAWONRC8","/resource/RLM_customer_snowflake_logo_sq","Snowflake — Metered Compute Credits","SF-USG-COMPUTE"
"QXIOGODWANVZHQWMNT","/resource/RLM_customer_snowflake_logo_sq","Snowflake — Usage Definition (Storage)","SF-BLNG-STORAGE"
"YKVVQHCAOCCT3VHNNA","/resource/RLM_customer_snowflake_logo_sq","Snowflake — Usage Definition (Egress)","SF-BLNG-EGRESS"
"ZA2PKILW9DWLUF3IEC","/resource/RLM_customer_snowflake_logo_sq","Snowflake — Usage Definition (Compute)","SF-BLNG-COMPUTE"
