Id,Name,ParentProductId,ParentProduct.Name,ChildProductId,ChildProduct.Name,ChildProductClassificationId,ChildProductClassification.Name,ProductRelationshipTypeId,ProductRelationshipType.Name,Sequence
0dSWt000000FLaPMAW,PRC-000000039,01tWt000009KMaiIAG,QuantumBit Q-Rack 750,01tWt000009KMaHIAW,QB-CacheBoost 150,,,0yoWt000000KWDRIA4,Bundle to Bundle Component Relationship,3
0dSWt000000FLaQMAW,PRC-000000040,01tWt000009KMaiIAG,QuantumBit Q-Rack 750,01tWt000009KMaIIAW,QB CPU Heat Sink,,,0yoWt000000KWDRIA4,Bundle to Bundle Component Relationship,1
0dSWt000000FLaRMAW,PRC-000000041,01tWt000009KMaiIAG,QuantumBit Q-Rack 750,01tWt000009KMaJIAW,1TB 10k RPM (2.5in),,,0yoWt000000KWDRIA4,Bundle to Bundle Component Relationship,5
0dSWt000000FLaSMAW,PRC-000000042,01tWt000009KMaiIAG,QuantumBit Q-Rack 750,01tWt000009JQYOIA4,1TB 7.2k RPM NLSAS,,,0yoWt000000KWDRIA4,Bundle to Bundle Component Relationship,1
0dSWt000000FLaTMAW,PRC-000000043,01tWt000009KMaiIAG,QuantumBit Q-Rack 750,01tWt000009KMaKIAW,20TB 7.2k RPM NLSAS (3.5in),,,0yoWt000000KWDRIA4,Bundle to Bundle Component Relationship,4
0dSWt000000FLaUMAW,PRC-000000044,01tWt000009KMaiIAG,QuantumBit Q-Rack 750,01tWt000009KMaLIAW,3TB 10k RPM (2.5in),,,0yoWt000000KWDRIA4,Bundle to Bundle Component Relationship,6
0dSWt000000FLaVMAW,PRC-000000045,01tWt000009KMaiIAG,QuantumBit Q-Rack 750,01tWt000009JQYPIA4,4TB 7.2k RPM NLSAS,,,0yoWt000000KWDRIA4,Bundle to Bundle Component Relationship,2
0dSWt000000FLaWMAW,PRC-000000046,01tWt000009KMaiIAG,QuantumBit Q-Rack 750,01tWt000009JQYQIA4,8TB 7.2k RPM NLSAS,,,0yoWt000000KWDRIA4,Bundle to Bundle Component Relationship,3
0dSWt000000FLaXMAW,PRC-000000047,01tWt000009KMaiIAG,QuantumBit Q-Rack 750,01tWt000009KMaMIAW,"Intel Xeon Gold 5318N 2.1GHz, 24C/48T",,,0yoWt000000KWDRIA4,Bundle to Bundle Component Relationship,2
0dSWt000000FLaYMAW,PRC-000000048,01tWt000009KMaiIAG,QuantumBit Q-Rack 750,01tWt000009KMaNIAW,"Intel Xeon Gold 6330N 2.2GHz, 28C/56T",,,0yoWt000000KWDRIA4,Bundle to Bundle Component Relationship,3
0dSWt000000FLaZMAW,PRC-000000049,01tWt000009KMaiIAG,QuantumBit Q-Rack 750,01tWt000009KMaOIAW,"Intel Xeon Gold 6354 3GHz, 18C/36T",,,0yoWt000000KWDRIA4,Bundle to Bundle Component Relationship,1
0dSWt000000FLaaMAG,PRC-000000050,01tWt000009KMaiIAG,QuantumBit Q-Rack 750,01tWt000009KMaPIAW,"Intel Xeon Platinum 8352M 2.3GHz, 32C/64T",,,0yoWt000000KWDRIA4,Bundle to Bundle Component Relationship,5
0dSWt000000FLabMAG,PRC-000000051,01tWt000009KMaiIAG,QuantumBit Q-Rack 750,01tWt000009KMaQIAW,"Intel Xeon Platinum 8352Y 2.2GHz, 32C/64T",,,0yoWt000000KWDRIA4,Bundle to Bundle Component Relationship,4
