$$Name$DocumentClauseSet.Name$DocumentClauseSet.CategoryReference.DeveloperName,Content,Description,DocumentClauseSet.$$Name$CategoryReference.DeveloperName,Format,IsAlternateClause,Language,Name,Status,Version
CYA;CYA;Contract,<p><strong>STANDARD LAWTER TALK</strong></p><p><br></p><p>sdafl;kjdsakl;fj;alsdkjf</p>,Standard Corporate Drivel,CYA;Contract,Rich_Text,false,en_US,CYA,Draft,1
Invoicing & Payment- Net 45;Invoicing & Payment;Fees_Payment,"​Invoicing and Payment- Net 45. Fees will be invoiced in advance and otherwise in accordance with the relevant Order Form. Unless otherwise stated in the Order Form, fees are due net 45 days from the invoice date, provided that if an invoice is sent electronically to the e-mail address provided by Customer for billing, then it shall be deemed received by Customer as of the date it was sent. Customer is responsible for providing complete and accurate billing and contact information to Salesforce and notifying Salesforce of any changes to such information.​",,Invoicing & Payment;Fees_Payment,Non_Formatted,false,en_US,Invoicing & Payment- Net 45,Draft,1
Software Discount 30;Software Discount;Fees_Payment,"2.1 Software Discount. Smartbytes will make all software available to Customer pursuant to this Agreement at a Discount of ten percent (30%) off List Price for the duration of this Agreement as defined in ""Terms of Agreement"" below.",,Software Discount;Fees_Payment,Non_Formatted,false,en_US,Software Discount 30,Draft,1
Purchase and Sale of Electricity;Software Discount;Fees_Payment,"Purchase and Sale of Electricity.  Purchaser shall purchase from Seller, and Seller shall sell to Purchaser, all of the electric energy generated by the System during the Initial Term and any Additional Term (as defined in Exhibit 1, and collectively the “Term”).   Electric energy generated by the System will be delivered to Purchaser at the delivery point identified on Exhibit 2 (the “Delivery Point”).  Purchaser shall take title to the electric energy generated by the System at the Delivery Point, and risk of loss will pass from Seller to Purchaser at the Delivery Point.  Purchaser may purchase electric energy for the Facility from other sources if the Purchaser's electric requirements at the Facility exceed the output of the System.  Any purchase, sale and/or delivery of electric energy generated by the System prior to the Commercial Operation Date shall be treated as purchase, sale and/or delivery of limited amounts of test energy only and shall not indicate that the System has been put in commercial operation by the purchase, sale and/or delivery of such test energy",,Software Discount;Fees_Payment,Non_Formatted,false,en_US,Purchase and Sale of Electricity,Draft,1
Payment Terms;Software Discount;Fees_Payment,"Payment Terms.  All amounts due under this Agreement shall be due and payable net twenty (20) days from receipt of invoice.  Any undisputed portion of the invoice amount not paid within the twenty (20) day period shall accrue interest at the annual rate of two and one-half percent (2.5%) over the prime rate, as published in the Wall Street Journal (but not to exceed the maximum rate permitted by law).",,Software Discount;Fees_Payment,Non_Formatted,false,en_US,Payment Terms,Draft,1
Assignment;Software Discount;Fees_Payment,"This Agreement may not be assigned in whole or in part by either Party without the prior written consent of the other Party, which consent shall not be unreasonably withheld or delayed.  Notwithstanding the foregoing, Seller may, without the prior written consent of Purchaser, (i) assign, mortgage, pledge or otherwise collaterally assign its interests in this Agreement and the System to any Financing Party, (ii) directly or indirectly assign this Agreement and the System to an affiliate or subsidiary of Seller, (iii) assign this Agreement and the System to any entity through which Seller is obtaining financing or capital for the System and (iv) assign this Agreement and the System to any person succeeding to all or substantially all of the assets of Seller (provided that Seller shall be released from liability hereunder as a result of any of the foregoing permitted assignments only upon assumption of Seller’s obligations hereunder by the assignee).  In the event of any such assignment, the Seller shall be released from all its liabilities and other obligations under this Agreement.  However, any assignment of Seller’s right and/or obligations under this Agreement, shall not result in any change to Purchaser’s rights and obligations under this Agreement.  Purchaser’s consent to any other assignment shall not be unreasonably withheld if Purchaser has been provided with reasonable proof that the proposed assignee (x) has comparable experience in operating and maintaining photovoltaic solar systems comparable to the System and providing services comparable to those contemplated by this Agreement and (y) has the financial capability to maintain the System and provide the services contemplated by this Agreement in the manner required by this Agreement.  This Agreement shall be binding on and inure to the benefit of the successors and permitted assignees ",,Software Discount;Fees_Payment,Non_Formatted,false,en_US,Assignment,Draft,1
Software Discount;Software Discount;Fees_Payment,"<p><strong style=""font-size: 11px; font-family: sans-serif;"">Software Discount. </strong><span style=""font-size: 11px; font-family: sans-serif;"">Smartbytes will make all software available to Customer pursuant to this Agreement at a Discount of ten percent (10%) off List Price for the duration of this Agreement as defined in ""Terms of Agreement"" below.<span class=""ql-cursor"">﻿</span></span></p>",,Software Discount;Fees_Payment,Rich_Text,false,en_US,Software Discount,Draft,1
Term of Subscriptions;Term of Subscriptions;Use_of_Service,"<p><strong style=""font-family: sans-serif; font-size: 11px;"">Term of Subscriptions.</strong><span style=""font-family: sans-serif; font-size: 11px;""> The term of each subscription shall be as specified in the applicable Order Form. Except as otherwise specified in an Order Form, subscriptions will automatically renew for additional periods equal to the expiring subscription term or one year (whichever is shorter), unless either party gives the other notice of non-renewal at least 30 days before the end of the relevant subscription term. The per-unit pricing during any renewal term will increase by up to 5% above the applicable pricing in the prior term, unless Smartbytes provides Customer notice of different pricing at least 60 days prior to the applicable renewal term.  Notwithstanding anything to the contrary, any renewal in which subscription volume for any Services has decreased from the prior term will result in re-pricing at renewal without regard to the prior term’s per-unit pricing.</span></p>",,Term of Subscriptions;Use_of_Service,Rich_Text,false,en_US,Term of Subscriptions,Draft,1
Force Majeure;Force Majeure;Force_Majeure,"<p><strong style=""font-size: 11px; font-family: sans-serif;"">FORCE MAJEURE.</strong><span style=""font-size: 11px; font-family: sans-serif;""> Neither Party will be liable for any failure or delay in performing an obligation under this Agreement that is due to any of the following causes (which causes are hereinafter referred to as “Force Majeure”), to the extent beyond its reasonable control: acts of God, accident, riots, war, terrorist act, epidemic, pandemic, quarantine, civil commotion, breakdown of communication facilities, breakdown of web host, breakdown of internet service provider, natural catastrophes, governmental acts or omissions, changes in laws or regulations, national strikes, fire, explosion, or generalized lack of availability of raw materials or energy; provided that the Parties stipulate that Force Majeure shall not include the novel coronavirus Covid-19 pandemic, which is ongoing as of the date of the execution of this Agreement. For the avoidance of doubt, Force Majeure shall not include (a) financial distress nor the inability of either party to make a profit or avoid a financial loss, (b) changes in the market prices or conditions, or (c) a party's financial inability to perform its obligations hereunder.</span></p>",,Force Majeure;Force_Majeure,Rich_Text,false,en_US,Force Majeure,Draft,1
Exclusion of Consequential and Related Damages;Exclusion of Consequential and Related Damages;Limits_of_Liability,"<p><strong style=""font-family: sans-serif; font-size: 11px;"">Exclusion of Consequential and Related Damages.</strong><span style=""font-family: sans-serif; font-size: 11px;""> IN NO EVENT WILL EITHER PARTY OR ITS AFFILIATES HAVE ANY LIABILITY ARISING OUT OF OR RELATED TO THIS AGREEMENT FOR ANY LOST PROFITS, REVENUES, GOODWILL, OR INDIRECT, SPECIAL, INCIDENTAL, CONSEQUENTIAL, COVER, BUSINESS INTERRUPTION OR PUNITIVE DAMAGES, WHETHER AN ACTION IS IN CONTRACT OR TORT AND REGARDLESS OF THE THEORY OF LIABILITY, EVEN IF A PARTY OR ITS AFFILIATES HAVE BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES OR IF A PARTY’S OR ITS AFFILIATES’ REMEDY OTHERWISE FAILS OF ITS ESSENTIAL PURPOSE. THE FOREGOING DISCLAIMER WILL NOT APPLY TO THE EXTENT PROHIBITED BY LAW.</span></p>",,Exclusion of Consequential and Related Damages;Limits_of_Liability,Rich_Text,false,en_US,Exclusion of Consequential and Related Damages,Draft,1
