Code,DataType,DefaultHelpText,DefaultValue,Description,DeveloperName,IsActive,IsRequired,Label,Name,Picklist.Code,SourceSystemIdentifier,UnitOfMeasure.UnitCode,ValueDescription
ATTR-QB-API,Picklist,,Flex,,Type,true,false,Type,Type,AP-001,,,
ATTR-QB-BASECORECNT,Picklist,,4,,Base_Core_Count,true,false,Base Core Count,Base Core Count,AP-002,,,
ATTR-QB-CONNECTOR,Picklist,,,,Connector_Type,true,false,Connector Type,Connector Type,AP-004,,,
ATTR-QB-CPUFRQ,Picklist,,3.2GHz,,Processor_Frequency,true,false,Processor_Frequency,Processor Frequency,AP-010,,,
ATTR-QB-DATASTORAGE,Picklist,,,,HDD_Storage,true,false,HDD_Storage,Data Storage,AP-005,,,
ATTR-QB-DATATHROUGHPUTTB,Number,,0,,Data_Throughput_TB,true,false,Data Throughput (TB),Data Throughput in TB,,,,
ATTR-QB-DATAUTIL,Picklist,,,,Data_Utilization,true,false,Data Utilization,Data Utilization,AP-006,,,
ATTR-QB-FLOWS,Number,,1000,,Flows,true,false,Flows,Flows,,,,
ATTR-QB-LENGTH,Picklist,,,,Length,true,false,Length,Cable Length,AP-003,,,
ATTR-QB-MESSAGES,Number,,60,,Messages_Million,true,false,Messages (Million),Messages Million,,,,
ATTR-QB-NIC,Picklist,,Direct_Attach,,NIC_Type,true,false,NIC_Type,Network Adapter Type,AP-008,,,
ATTR-QB-OS,Picklist,,Amazon Linux 2,,Operating_System,true,false,Operating System,Operating System,AP-009,,,
ATTR-QB-PS-ENGOPTIONS,Picklist,,Extended_Care,,Engineering_Options,true,false,Engineering_Options,Engineering Options,AP-007,,,
ATTR-QB-PS-NOTES,Text,,Insert Notes Here,,Notes_and_Assumptions,true,false,Notes_and_Assumptions,Notes and Assumptions,,,,
ATTR-QB-PSRESOURCELOCATION,Picklist,,Onsite,,Resource_Location,true,false,Resource_Location,Resource Location,AP-013,,,
ATTR-QB-RAM,Picklist,,Performance_Optimized,,Memory_Config,true,false,Memory_Config,Memory Config,AP-011,,,
ATTR-QB-RAMMAX,Picklist,,8GB,,Memory_Capacity,true,false,Memory_Capacity,Memory Capacity,AP-012,,,
ATTR-QB-SRVCONFIG,Picklist,,Security,,Server_Configuration,true,false,Server_Configuration,Server Configuration,AP-014,,,
ATTR-QB-SUBTYPE,Picklist,,,,TestSubscriptionType,true,false,TestSubscriptionType,Test Subscription Type,AP-015,,,
Available PCIe Slots,Number,,,,AvailablePCIeSlots,true,false,Available PCIe Slots,Available PCIe Slots,,,,
bigDrive,Checkbox,,false,,bigDrive,true,false,bigDrive,bigDrive,,,,
DIMM Type,Picklist,,3200MT/s RDIMMs,,DIMMType,true,false,DIMM Type,DIMM Type,DIMM Type,,,
Dual,Picklist,,Single,,SocketConfiguration,true,false,Dual,Socket Configuration,Socket Configuration,,,
Front Storage,Picklist,,,,FrontStorage,true,false,Front Storage,Front Storage,Front Storage,,,
HDD Count,Number,,0,,HDDCount,true,false,HDD Count,HDD Count,,,,
PCIe Lane Type,Picklist,,x8,,PCIeLane,true,false,PCIe Lane Type,PCIe Lane Type,PCIe Lane Type,,,
PCIe Slots Used,Number,,,,PCIeSlotsUsed,true,false,PCIe Slots Used,PCIe Slots Used,,,,
Performance Tier,Picklist,,N/A,,PerformanceTier,true,false,Performance Tier,Performance Tier,Performance Tier,,,
Power Draw (watts),Number,,,,PowerDraw,true,false,Power Draw (watts),Power Draw (watts),,,,
RAID,Picklist,,N/A,,RAID,true,false,RAID,RAID,RAID,,,
Rear Storage,Picklist,,N/A,,RearStorage,true,false,Rear Storage,Rear Storage,Rear Storage,,,
Redundancy,Picklist,,,,Redundancy,true,false,Redundancy,Redundancy,Redundancy,,,
smallDrive,Checkbox,,false,,smallDrive,true,false,smallDrive,smallDrive,,,,
Storage (TB),Number,,0,,GB_Storage,true,false,Storage (TB),Storage (TB),,,,
Storage Profile,Picklist,,N/A,,StorageProfile,true,false,Storage Profile,Storage Profile,Storage Profile,,,
watts,Number,,,,watts,true,false,watts,watts,,,,
Workload,Picklist,,General,,Workload,true,false,Workload,Workload,Workload,,,
x16 Lanes,Number,,4,,x16Lanes,true,false,x16 Lanes,x16 Lanes,,,,
x8 Lanes,Number,,2,,x8Lanes,true,false,x8 Lanes,x8 Lanes,,,,
