ConversionFactor,CurrencyIsoCode,Description,Name,RoundingMethod,Scale,Sequence,Status,Type,UnitCode,UnitOfMeasureClass.Code
1,USD,,Each,,,1,Active,Count,Each,CAS01
1,USD,,Minutes,,,1,Active,Time,MIN,CALLUNITS01
1,USD,,Count,,,1,Active,Count,Count,SMS01
1,USD,,MB,,,1,Active,Memory,MB,DAT01
1,USD,,USD,,,1,Active,Cost,USD,CURRENCY
1,USD,,SESH,,,5,Active,Count,SESH,COUNT
0.001,USD,Unit of measure for Data,GB,,,2,Active,Memory,GB,DAT01
1,USD,,XFER,,,1,Active,Count,XFER,COUNT
1,USD,,ACCTS,,,2,Active,Count,ACCTS,COUNT
1,USD,,LOGS,,,3,Active,Count,LOGS,COUNT
1,USD,,CALLS,,,4,Active,Count,CALLS,COUNT
1,USD,,TPS,,,6,Active,Count,TPS,COUNT
1000,USD,,Grams,Up,5,1,Active,Weight,GRAMS,Grams
1,USD,,Litre,Down,4,1,Active,Litre,Litre,Litre
1,USD,,Courses Count,,,,Active,Count,UOM3421,COUNT
0.001,USD,,Millilitres,Down,5,2,Draft,Litre,ML,
0.001,USD,,Kilograms,Up,3,2,Draft,Weight,KG,
