"Id","BillingPolicy.Name","StockKeepingUnit","BillingPolicyId"
"YTLSYNHRLH3JUPAB7V","Snowflake Demo Billing Policy","SF-EDU-STD","66HS18CGVJDESDUVVC"
"N6S5INBQHV835QSEHX","Snowflake Demo Billing Policy","SF-EDU-ENT","66HS18CGVJDESDUVVC"
"RHVQVDEJPBN686TOPD","Snowflake Demo Billing Policy","SF-EDU-BC","66HS18CGVJDESDUVVC"
"IUBMZ3XIKCRUWS2O9T","Snowflake Demo Billing Policy","SF-EDU-VPS","66HS18CGVJDESDUVVC"
"7TYZNRU2WJP9QFFSXZ","Snowflake Demo Billing Policy","SF-SUP-STD","66HS18CGVJDESDUVVC"
"Q0SOCWTRMZYWPEFV6D","Snowflake Demo Billing Policy","SF-SUP-PREM","66HS18CGVJDESDUVVC"
"E1UYV3WG0XAMIUYYW4","Snowflake Demo Billing Policy","SF-BND-STARTER","66HS18CGVJDESDUVVC"
"X8TJ1GCPNTUJZG9PVW","Snowflake Demo Billing Policy","SF-BND-GROWTH","66HS18CGVJDESDUVVC"
"F3LLYMSMDAMBA27WHN","Snowflake Demo Billing Policy","SF-SVC-ONBOARD","66HS18CGVJDESDUVVC"
"IJAL98S38XZJKBHLL1","Snowflake Demo Billing Policy","SF-USG-STORAGE","66HS18CGVJDESDUVVC"
"RLS6WTN9NAQGNJJ9RA","Snowflake Demo Billing Policy","SF-USG-EGRESS","66HS18CGVJDESDUVVC"
"9BLNCB7BPG67EJAQYO","Snowflake Demo Billing Policy","SF-USG-COMPUTE","66HS18CGVJDESDUVVC"
"ZUSZZTQB7BWNWTISC1","Snowflake Demo Billing Policy","SF-BLNG-STORAGE","66HS18CGVJDESDUVVC"
"CYGYNPBTZFH6QHYS90","Snowflake Demo Billing Policy","SF-BLNG-EGRESS","66HS18CGVJDESDUVVC"
"UKXWKQGMHC70PYRHM9","Snowflake Demo Billing Policy","SF-BLNG-COMPUTE","66HS18CGVJDESDUVVC"
