$$ChildProductClassification.Code$ChildProduct.StockKeepingUnit$ParentProduct.StockKeepingUnit$ProductComponentGroup.Code$ProductRelationshipType.Name,ChildProduct.StockKeepingUnit,ChildProductClassification.Code,ChildProductRole,ChildSellingModel.$$Name$SellingModelType,DoesBundlePriceIncludeChild,IsComponentRequired,IsDefaultComponent,IsQuantityEditable,MaxQuantity,MinQuantity,ParentProduct.StockKeepingUnit,ParentProductRole,ParentSellingModel.$$Name$SellingModelType,ProductComponentGroup.Code,ProductRelationshipType.Name,Quantity,QuantityScaleMethod,QuoteVisibility,Sequence,UnitOfMeasure.UnitCode
;RK-RODENT;RK-COMM-PREM;PCG-RK-CORE-IPM;Bundle to Bundle Component Relationship,RK-RODENT,,BundleComponent,,false,false,true,false,,,RK-COMM-PREM,Bundle,,PCG-RK-CORE-IPM,Bundle to Bundle Component Relationship,1,,Always,10,
;RK-INSECT;RK-COMM-PREM;PCG-RK-CORE-IPM;Bundle to Bundle Component Relationship,RK-INSECT,,BundleComponent,,false,false,true,false,,,RK-COMM-PREM,Bundle,,PCG-RK-CORE-IPM,Bundle to Bundle Component Relationship,1,,Always,20,
;RK-BIRD;RK-COMM-PREM;PCG-RK-CORE-IPM;Bundle to Bundle Component Relationship,RK-BIRD,,BundleComponent,,false,false,true,false,,,RK-COMM-PREM,Bundle,,PCG-RK-CORE-IPM,Bundle to Bundle Component Relationship,1,,Always,30,
;RK-TERMITE;RK-COMM-PREM;PCG-RK-ADDONS;Bundle to Bundle Component Relationship,RK-TERMITE,,BundleComponent,,false,false,false,false,,,RK-COMM-PREM,Bundle,,PCG-RK-ADDONS,Bundle to Bundle Component Relationship,1,,Always,10,
;RK-MOSQUITO;RK-COMM-PREM;PCG-RK-ADDONS;Bundle to Bundle Component Relationship,RK-MOSQUITO,,BundleComponent,,false,false,false,false,,,RK-COMM-PREM,Bundle,,PCG-RK-ADDONS,Bundle to Bundle Component Relationship,1,,Always,20,
;RK-USG-CONNECT;RK-COMM-PREM;PCG-RK-ADDONS;Bundle to Bundle Component Relationship,RK-USG-CONNECT,,BundleComponent,,false,false,false,true,,,RK-COMM-PREM,Bundle,,PCG-RK-ADDONS,Bundle to Bundle Component Relationship,1,,Always,30,
;RK-RODENT;RK-RES-365;PCG-RK-HOME;Bundle to Bundle Component Relationship,RK-RODENT,,BundleComponent,,false,true,true,false,,,RK-RES-365,Bundle,,PCG-RK-HOME,Bundle to Bundle Component Relationship,1,,Always,10,
;RK-INSECT;RK-RES-365;PCG-RK-HOME;Bundle to Bundle Component Relationship,RK-INSECT,,BundleComponent,,false,true,true,false,,,RK-RES-365,Bundle,,PCG-RK-HOME,Bundle to Bundle Component Relationship,1,,Always,20,
;RK-TERMITE;RK-RES-365;PCG-RK-SEASONAL;Bundle to Bundle Component Relationship,RK-TERMITE,,BundleComponent,,false,false,false,false,,,RK-RES-365,Bundle,,PCG-RK-SEASONAL,Bundle to Bundle Component Relationship,1,,Always,10,
;RK-MOSQUITO;RK-RES-365;PCG-RK-SEASONAL;Bundle to Bundle Component Relationship,RK-MOSQUITO,,BundleComponent,,false,false,false,false,,,RK-RES-365,Bundle,,PCG-RK-SEASONAL,Bundle to Bundle Component Relationship,1,,Always,20,
