Abbreviation,Code,DisplayValue,IsDefault,Name,Picklist.Name,Sequence,Status,Value
,100,100 KW,true,100,gc_KW,100,Active,100
,100_A,100 A,false,100_A,gc_cbSize,13,Active,100
,100_LSI_ELEC,100% LSI Electronic RH,false,100_LSI_ELEC,gc_cbType,4,Active,100_LSI_ELEC
,1080p Built-in Display,1080p Built-in Display,true,1080p Built-in Display,Display Picklist,1,Active,1080p Built-in Display
,12_IN_134_GAL,"12"" 134 Gal Basetank, UL/ULC",false,12_IN_134_GAL,Capacity,,Active,12_IN_134_GAL
,12_IN_90_GAL,"12"" 90 Gal Basetank, UL/ULC",false,12_IN_90_GAL,Capacity,,Active,12_IN_90_GAL
,120/208_3PH,120/208 3 phase,false,120/208_3PH,gc_voltage,,Active,120/208_3PH
,120/240_1PH,120/240 1 phase,false,120/240_1PH,gc_voltage,,Active,120/240_1PH
,120/240_3PH,120/240 3 phase,false,120/240_3PH,gc_voltage,,Active,120/240_3PH
,1200,1200,false,1200,Power,1200,Active,1200
,125_A,125 A,false,125_A,gc_cbSize,14,Active,125
,130,130 KW,false,130,gc_KW,130,Active,130
,13IN,13 Inch,false,13 Inch,Display Size Picklist,1,Active,13 Inch
,15_A,15 A,false,15_A,gc_cbSize,1,Active,15
,150,150 KW,false,150,gc_KW,150,Active,150
,150_A,150 A,false,150_A,gc_cbSize,15,Active,150
,150_WIND,150 MPH Wind Load Certified,false,150_WIND,Enclosure Certifications,,Active,150_WIND
,1500,1500,false,1500,Power,1500,Active,1500
,15IN,15 Inch,false,15 Inch,Display Size Picklist,2,Active,15 Inch
,175,175 KW,false,175,gc_KW,175,Active,175
,175_A,175 A,false,175_A,gc_cbSize,16,Active,175
,1750,1750,false,1750,Power,1750,Active,1750
,20_A,20 A,false,20_A,gc_cbSize,2,Active,20
,200,200 KW,false,200,gc_KW,200,Active,200
,200_A,200 A,false,200_A,gc_cbSize,17,Active,200
220/380,220/380,220/380,false,220/380,Voltage,10,Active,220/380
,225_A,225 A,false,225_A,gc_cbSize,18,Active,225
,24_IN_220_GAL,"24"" 220 Gal Basetank, UL/ULC",false,24_IN_220_GAL,Capacity,,Active,24_IN_220_GAL
,24_IN_322_GAL,"24"" 322 Gal Basetank, UL/ULC",false,24_IN_322_GAL,Capacity,,Active,24_IN_322_GAL
,24_IN_440_GAL,"24"" 440 Gal BT ext fill/vent",false,24_IN_440_GAL,Capacity,,Active,24_IN_440_GAL
,240/416,240/416,false,240/416,Voltage,20,Active,240/416
