$$CostBook.Name$Product.StockKeepingUnit,Cost,CostBook.$$Name$IsDefault,Description,EffectiveFrom,EffectiveTo,Product.StockKeepingUnit
Standard Cost Book,49.3,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,2.5,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,93.53,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,2.7,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,17.09,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,2.8,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,346.17,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,667,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,19.5,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,123,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,28.99,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,6.15,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,57.6,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book;OF001,3.8,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,OF001
Standard Cost Book,31.5,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book;QP001,12,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,QP001
Standard Cost Book;GW001,12,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,GW001
Standard Cost Book;LCD001,0,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,LCD001
Standard Cost Book;GPTW001,0,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,GPTW001
Standard Cost Book,0,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,52.99,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,0,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,0,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,18,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,28,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,550,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,11400,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,577.2,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,561,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,1174.2,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,338.8,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,416.5,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,533.2,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,600,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
Standard Cost Book,158.7,Standard Cost Book;true,,2020-01-01T20:00:00.000+0000,,
