BasedOn.Code,CanRamp,ConfigureDuringSale,DL_DefaultFareCodes__c,Description,DisplayUrl,Family,IsActive,IsAssetizable,IsSoldOnlyWithOtherProds,Name,ProductCode,QuantityUnitOfMeasure,SpecificationType,StockKeepingUnit,Type,UnitOfMeasure.UnitCode
PC-DL-TERM,false,Allowed,,Route-based negotiation term bundle,,Delta,true,true,false,Delta Term,DL-TERM,,,DL-TERM,Bundle,
PC-DL-FARE,false,,J;C;D;I;Z,Delta One / First cabin fare,,Delta,true,true,true,Delta One,DL-FARE-ONE,,,DL-FARE-ONE,,
PC-DL-FARE,false,,P;A;G,Premium Select cabin fare,,Delta,true,true,true,Premium Select,DL-FARE-PS,,,DL-FARE-PS,,
PC-DL-FARE,false,,W;S,Comfort cabin fare,,Delta,true,true,true,Comfort,DL-FARE-COMF,,,DL-FARE-COMF,,
PC-DL-FARE,false,,Y;B;M;H;Q;K;L;U;T;X;V,Main Cabin fare,,Delta,true,true,true,Main,DL-FARE-MAIN,,,DL-FARE-MAIN,,
PC-DL-FARE,false,,E,Main Basic cabin fare,,Delta,true,true,true,Main Basic,DL-FARE-BASIC,,,DL-FARE-BASIC,,
PC-DL-TERM,false,Allowed,,Template: ATL hub volume term,,Delta,true,true,false,ATL Hub Volume,DL-TMPL-ATLHUB,,,DL-TMPL-ATLHUB,Bundle,
PC-DL-TERM,false,Allowed,,Template: EMEAI intra-region term,,Delta,true,true,false,EMEAI Regional,DL-TMPL-EMEAI,,,DL-TMPL-EMEAI,Bundle,
PC-DL-TERM,false,Allowed,,Template: JFK-LHR directional term,,Delta,true,true,false,JFK-LHR Directional,DL-TMPL-JFKLHR,,,DL-TMPL-JFKLHR,Bundle,
PC-DL-TERM,false,Allowed,,Template: transatlantic premium term,,Delta,true,true,false,Transatlantic Premium,DL-TMPL-TATL,,,DL-TMPL-TATL,Bundle,
PC-DL-TERM,false,Allowed,,Template: US domestic share-gap term,,Delta,true,true,false,US Domestic Share Gap,DL-TMPL-USDOM,,,DL-TMPL-USDOM,Bundle,
PC-DL-TERM,false,Allowed,,Template: US50-APAC growth term,,Delta,true,true,false,US50-APAC Growth,DL-TMPL-USAPAC,,,DL-TMPL-USAPAC,Bundle,
