"Id","BasedOn.Code","CanRamp","ConfigureDuringSale","Description","DisplayUrl","Family","IsActive","IsAssetizable","IsSoldOnlyWithOtherProds","Name","ProductCode","QuantityUnitOfMeasure","SpecificationType","StockKeepingUnit","Type","UnitOfMeasure.UnitCode","BasedOnId","UnitOfMeasureId"
"ETWJ8VQZSXTBOLCXPU","#N/A","false","#N/A","Snowflake Standard edition — core AI Data Cloud platform access (demo).","#N/A","Software","true","true","false","Snowflake — Standard Edition","SF-EDU-STD","EACH","#N/A","SF-EDU-STD","#N/A","EACH","#N/A","ID0000000000000001"
"33GLYJIZ7GXF1S6X6F","#N/A","false","#N/A","Snowflake Enterprise edition — scale-out governance and performance (demo).","#N/A","Software","true","true","false","Snowflake — Enterprise Edition","SF-EDU-ENT","EACH","#N/A","SF-EDU-ENT","#N/A","EACH","#N/A","ID0000000000000001"
"HJF6WPD1P6HMBH4GMC","#N/A","false","#N/A","Snowflake Business Critical — regulated workloads and tri-secret controls (demo).","#N/A","Software","true","true","false","Snowflake — Business Critical Edition","SF-EDU-BC","EACH","#N/A","SF-EDU-BC","#N/A","EACH","#N/A","ID0000000000000001"
"TKAQU7LG4LAPFT6XVD","#N/A","false","#N/A","Isolated Snowflake deployment — dedicated environment (demo).","#N/A","Software","true","true","false","Snowflake — Virtual Private Snowflake","SF-EDU-VPS","EACH","#N/A","SF-EDU-VPS","#N/A","EACH","#N/A","ID0000000000000001"
"ODRPLLOX38HZNCLPST","#N/A","false","#N/A","Standard success coverage bundled with Starter (demo).","#N/A","Software","true","true","false","Snowflake — Standard Success","SF-SUP-STD","EACH","#N/A","SF-SUP-STD","#N/A","EACH","#N/A","ID0000000000000001"
"1BLW49OD0GKJB7KTPR","#N/A","false","#N/A","Premier technical success and guidance (demo).","#N/A","Software","true","true","false","Snowflake — Premier Success","SF-SUP-PREM","EACH","#N/A","SF-SUP-PREM","#N/A","EACH","#N/A","ID0000000000000001"
"JWBIFBUESXHHNREJS6","#N/A","false","Allowed","Standard edition plus standard success — land-and-expand starter (demo).","#N/A","Software","true","true","false","Snowflake — Starter Success Bundle","SF-BND-STARTER","EACH","#N/A","SF-BND-STARTER","Bundle","EACH","#N/A","ID0000000000000001"
"OJGJ8CGGZGMOG30AHJ","#N/A","false","Allowed","Enterprise edition plus premier success — expansion motion (demo).","#N/A","Software","true","true","false","Snowflake — Growth Premier Bundle","SF-BND-GROWTH","EACH","#N/A","SF-BND-GROWTH","Bundle","EACH","#N/A","ID0000000000000001"
"AYS9UXZ2H3COXDFKVX","#N/A","false","#N/A","Fixed-fee onboarding and architecture workshop (demo).","#N/A","Services","true","true","false","Snowflake — Quickstart Onboarding","SF-SVC-ONBOARD","EACH","#N/A","SF-SVC-ONBOARD","#N/A","EACH","#N/A","ID0000000000000001"
"69ILGOLX815L7ECAZU","#N/A","false","#N/A","Average TB-month storage — consumption-rated (demo).","#N/A","Software","true","true","false","Snowflake — Metered Optimized Storage","SF-USG-STORAGE","EACH","#N/A","SF-USG-STORAGE","#N/A","EACH","#N/A","ID0000000000000001"
"PXDYQY3SNACACVUEUO","#N/A","false","#N/A","Cross-region/cloud data transfer — consumption-rated (demo).","#N/A","Software","true","true","false","Snowflake — Metered Data Egress","SF-USG-EGRESS","EACH","#N/A","SF-USG-EGRESS","#N/A","EACH","#N/A","ID0000000000000001"
"P6YLRI7AJJ986U2JVD","#N/A","false","#N/A","Elastic warehouse consumption in credits — rated (demo).","#N/A","Software","true","true","false","Snowflake — Metered Compute Credits","SF-USG-COMPUTE","EACH","#N/A","SF-USG-COMPUTE","#N/A","EACH","#N/A","ID0000000000000001"
"A4YYXY7LS7QY7DAEPZ","#N/A","false","#N/A","Rating usage-definition product for optimized storage metering. Not sold standalone.","#N/A","#N/A","true","true","false","Snowflake — Usage Definition (Storage)","SF-BLNG-STORAGE","EACH","#N/A","SF-BLNG-STORAGE","#N/A","EACH","#N/A","ID0000000000000001"
"GKEI36BBF9UBVP3MC7","#N/A","false","#N/A","Rating usage-definition product for egress metering. Not sold standalone.","#N/A","#N/A","true","true","false","Snowflake — Usage Definition (Egress)","SF-BLNG-EGRESS","EACH","#N/A","SF-BLNG-EGRESS","#N/A","EACH","#N/A","ID0000000000000001"
"1YYYPFSYTR2GIERULO","#N/A","false","#N/A","Rating usage-definition product for compute credits metering. Not sold standalone.","#N/A","#N/A","true","true","false","Snowflake — Usage Definition (Compute)","SF-BLNG-COMPUTE","EACH","#N/A","SF-BLNG-COMPUTE","#N/A","EACH","#N/A","ID0000000000000001"
