$$Name$Pricebook2.Name$Product2.StockKeepingUnit$ProductSellingModel.Name$CurrencyIsoCode,CurrencyIsoCode,IsActive,IsDerived,Name,Pricebook2.$$Name$IsStandard,Product2.StockKeepingUnit,ProductSellingModel.$$Name$SellingModelType,UnitPrice
Additional API;Standard Price Book;QB-API;Evergreen Monthly;USD,USD,true,false,Additional API,Standard Price Book;true,QB-API,Evergreen Monthly;Evergreen,2000
Additional API;Standard Price Book;QB-API;Term Annual;USD,USD,true,false,Additional API,Standard Price Book;true,QB-API,Term Annual;TermDefined,15000
Additional API;Standard Price Book;QB-API;Term Monthly;USD,USD,true,false,Additional API,Standard Price Book;true,QB-API,Term Monthly;TermDefined,1500
Additional API Flex (100M);Standard Price Book;QB-API-FLEX;Term Annual;USD,USD,true,false,Additional API Flex (100M),Standard Price Book;true,QB-API-FLEX,Term Annual;TermDefined,450
Additional API Gov;Standard Price Book;QB-API-GOVT;Term Annual;USD,USD,true,false,Additional API Gov,Standard Price Book;true,QB-API-GOVT,Term Annual;TermDefined,1450
QB API Management Solution;Standard Price Book;QB-API-MGMT;Evergreen Monthly;USD,USD,true,false,QB API Management Solution,Standard Price Book;true,QB-API-MGMT,Evergreen Monthly;Evergreen,1000
QB API Management Solution;Standard Price Book;QB-API-MGMT;Term Annual;USD,USD,true,false,QB API Management Solution,Standard Price Book;true,QB-API-MGMT,Term Annual;TermDefined,12000
QB API Management Solution;Standard Price Book;QB-API-MGMT;Term Monthly;USD,USD,true,false,QB API Management Solution,Standard Price Book;true,QB-API-MGMT,Term Monthly;TermDefined,1000
Additional API Pre-Prod;Standard Price Book;QB-API-PREP;Term Annual;USD,USD,true,false,Additional API Pre-Prod,Standard Price Book;true,QB-API-PREP,Term Annual;TermDefined,3240
Additional API Prod;Standard Price Book;QB-API-PROD;Term Annual;USD,USD,true,false,Additional API Prod,Standard Price Book;true,QB-API-PROD,Term Annual;TermDefined,3240
API Access Requests (AEH);Standard Price Book;QB-API-REQT;Evergreen Monthly;USD,USD,true,false,API Access Requests (AEH),Standard Price Book;true,QB-API-REQT,Evergreen Monthly;Evergreen,5
API Access Requests (AEH);Standard Price Book;QB-API-REQT;Term Annual;USD,USD,true,false,API Access Requests (AEH),Standard Price Book;true,QB-API-REQT,Term Annual;TermDefined,45
API Access Requests (AEH);Standard Price Book;QB-API-REQT;Term Monthly;USD,USD,true,false,API Access Requests (AEH),Standard Price Book;true,QB-API-REQT,Term Monthly;TermDefined,5
Additional Automation QB Credits;Standard Price Book;QB-AUT-CRED;Evergreen Monthly;USD,USD,true,false,Additional Automation QB Credits,Standard Price Book;true,QB-AUT-CRED,Evergreen Monthly;Evergreen,2.5
Additional Automation QB Credits;Standard Price Book;QB-AUT-CRED;Term Annual;USD,USD,true,false,Additional Automation QB Credits,Standard Price Book;true,QB-AUT-CRED,Term Annual;TermDefined,25
Additional Automation QB Credits;Standard Price Book;QB-AUT-CRED;Term Monthly;USD,USD,true,false,Additional Automation QB Credits,Standard Price Book;true,QB-AUT-CRED,Term Monthly;TermDefined,2
PowerSwerve R750 Rack Server;Standard Price Book;QB-BDL-R750;One-Time;USD,USD,true,false,PowerSwerve R750 Rack Server,Standard Price Book;true,QB-BDL-R750,One-Time;OneTime,3899
QuantumBit Services Project;Standard Price Book;QB-BDL-SRVC;One-Time;USD,USD,true,false,QuantumBit Services Project,Standard Price Book;true,QB-BDL-SRVC,One-Time;OneTime,0
QuantumBit Starter;Standard Price Book;QB-BDL-STND;One-Time;USD,USD,true,false,QuantumBit Starter,Standard Price Book;true,QB-BDL-STND,One-Time;OneTime,0
Intel X710 Dual Port 10Gb SFP;Standard Price Book;QB-BET X710SFP;One-Time;USD,USD,true,false,Intel X710 Dual Port 10Gb SFP,Standard Price Book;true,QB-BET X710SFP,One-Time;OneTime,1599
QB-CacheBoost 150;Standard Price Book;QB-CBOOST-150;One-Time;USD,USD,true,false,QB-CacheBoost 150,Standard Price Book;true,QB-CBOOST-150,One-Time;OneTime,389
Configured Power Cable;Standard Price Book;QB-CMPC-5882;One-Time;USD,USD,true,false,Configured Power Cable,Standard Price Book;true,QB-CMPC-5882,One-Time;OneTime,249
