$$PriceAdjustmentSchedule.Name$Product2.StockKeepingUnit$ProductSellingModel.Name,AdjustmentType,CurrencyIsoCode,EffectiveFrom,EffectiveTo,LowerBound,PriceAdjustmentSchedule.$$Name$CurrencyIsoCode$Pricebook2.Name,PricingTerm,PricingTermUnit,Product2.StockKeepingUnit,ProductSellingModel.$$Name$SellingModelType,ScheduleType,SellingModelType,TierType,TierValue,UpperBound
Standard Volume Based Adjustment;QB-MSG-STRT;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,16,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Volume Based Adjustment;QB-MSG-STRT;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,11,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,15
Standard Volume Based Adjustment;QB-MSG-STRT;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,5,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,10,10
Standard Volume Based Adjustment;QB-MSG-STRT-GEN0265;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,16,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN0265,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Volume Based Adjustment;QB-MSG-STRT-GEN0265;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,11,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN0265,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,15
Standard Volume Based Adjustment;QB-MSG-STRT-GEN0265;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,5,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN0265,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,10,10
Standard Volume Based Adjustment;QB-MSG-STRT-GEN0429;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,16,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN0429,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Volume Based Adjustment;QB-MSG-STRT-GEN0429;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,11,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN0429,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,15
Standard Volume Based Adjustment;QB-MSG-STRT-GEN0429;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,5,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN0429,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,10,10
Standard Volume Based Adjustment;QB-MSG-STRT-GEN0593;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,16,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN0593,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Volume Based Adjustment;QB-MSG-STRT-GEN0593;Term Annual,Percentage,USD,2023-01-01T20:00:00.000+0000,,11,Standard Volume Based Adjustment;USD;Standard Price Book,1,Annual,QB-MSG-STRT-GEN0593,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,15
