$$Product2.StockKeepingUnit$ProductSellingModel.Name$CurrencyIsoCode,CurrencyIsoCode,IsActive,IsDerived,Name,Pricebook2.$$Name$IsStandard,Product2.StockKeepingUnit,ProductSellingModel.$$Name$SellingModelType,UnitPrice
DL-TERM;Term Annual;USD,USD,true,false,Delta Term,Standard Price Book;true,DL-TERM,Term Annual;TermDefined,0
DL-FARE-ONE;Term Annual;USD,USD,true,false,Delta One,Standard Price Book;true,DL-FARE-ONE,Term Annual;TermDefined,0
DL-FARE-PS;Term Annual;USD,USD,true,false,Premium Select,Standard Price Book;true,DL-FARE-PS,Term Annual;TermDefined,0
DL-FARE-COMF;Term Annual;USD,USD,true,false,Comfort,Standard Price Book;true,DL-FARE-COMF,Term Annual;TermDefined,0
DL-FARE-MAIN;Term Annual;USD,USD,true,false,Main,Standard Price Book;true,DL-FARE-MAIN,Term Annual;TermDefined,0
DL-FARE-BASIC;Term Annual;USD,USD,true,false,Main Basic,Standard Price Book;true,DL-FARE-BASIC,Term Annual;TermDefined,0
DL-TMPL-ATLHUB;Term Annual;USD,USD,true,false,ATL Hub Volume,Standard Price Book;true,DL-TMPL-ATLHUB,Term Annual;TermDefined,0
DL-TMPL-EMEAI;Term Annual;USD,USD,true,false,EMEAI Regional,Standard Price Book;true,DL-TMPL-EMEAI,Term Annual;TermDefined,0
DL-TMPL-JFKLHR;Term Annual;USD,USD,true,false,JFK-LHR Directional,Standard Price Book;true,DL-TMPL-JFKLHR,Term Annual;TermDefined,0
DL-TMPL-TATL;Term Annual;USD,USD,true,false,Transatlantic Premium,Standard Price Book;true,DL-TMPL-TATL,Term Annual;TermDefined,0
DL-TMPL-USDOM;Term Annual;USD,USD,true,false,US Domestic Share Gap,Standard Price Book;true,DL-TMPL-USDOM,Term Annual;TermDefined,0
DL-TMPL-USAPAC;Term Annual;USD,USD,true,false,US50-APAC Growth,Standard Price Book;true,DL-TMPL-USAPAC,Term Annual;TermDefined,0
