Code,CurrencyIsoCode,DataType,DefaultHelpText,DefaultValue,Description,DeveloperName,IsActive,IsRequired,Label,Name,Picklist.Name,SourceSystemIdentifier,UnitOfMeasure.Name,ValueDescription
ATTR-QB-CONNECTOR,USD,Picklist,,,,Connector_Type,true,false,Connector Type,Connector Type,Connector Type Picklist,,,
ATTR-QB-BASECORECNT,USD,Picklist,,4,,Base_Core_Count,true,false,Base Core Count,Base Core Count,Base Core Count Picklist,,,
ATTR-QB-API,USD,Picklist,,Flex,,Type,true,false,Type,Type,API Type Picklist,,,
ATTR-QB-LENGTH,USD,Picklist,,,,Length,true,false,Length,Cable Length,Cable Length Picklist,,,
ATTR-QB-OS,USD,Picklist,,Amazon Linux 2,,Operating_System,true,false,Operating System,Operating System,Operating System Picklist,,,
ATTR-QB-SRVCONFIG,USD,Picklist,,Security,,Server_Configuration,true,false,Server_Configuration,Server Configuration,Server Configuration Picklist,,,
ATTR-QB-PSRESOURCELOCATION,USD,Picklist,,Onsite,,Resource_Location,true,false,Resource_Location,Resource Location,Resource Location Picklist,,,
ATTR-QB-CPUFRQ,USD,Picklist,,3.2GHz,,Processor_Frequency,true,false,Processor_Frequency,Processor Frequency,Processor Frequency Picklist,,,
ATTR-QB-SUBTYPE,USD,Picklist,,,,SubscriptionType,true,false,SubscriptionType,Subscription Type,Subscription Type Picklist,,,
ATTR-QB-PS-ENGOPTIONS,USD,Picklist,,Extended_Care,,Engineering_Options,true,false,Engineering_Options,Engineering Options,Engineering Options Picklist,,,
ATTR-QB-RAM,USD,Picklist,,Performance_Optimized,,Memory_Config,true,false,Memory_Config,Memory Config,RAM Config Picklist,,,
ATTR-QB-RAMMAX,USD,Picklist,,8GB,,Memory_Capacity,true,false,Memory_Capacity,Memory Capacity,RAM Picklist,,,
ATTR-QB-NIC,USD,Picklist,,Direct_Attach,,NIC_Type,true,false,NIC_Type,Network Adapter Type,Network Adapter Type Picklist,,,
ATTR-QB-DATASTORAGE,USD,Picklist,,1TB,,HDD_Storage,true,false,HDD_Storage,Data Storage,Data Storage Picklist,,,
ATTR-QB-DATAUTIL,USD,Picklist,,,,Data_Utilization,true,false,Data Utilization,Data Utilization,Data Utilization,,,
ATTR-QB-FLOWS,USD,Number,,1000,,Flows,true,false,Flows,Flows,,,,
ATTR-QB-MESSAGES,USD,Number,,60,,Messages_Million,true,false,Messages (Million),Messages Million,,,,
ATTR-QB-DATATHROUGHPUTTB,USD,Number,,0,,Data_Throughput_TB,true,false,Data Throughput (TB),Data Throughput in TB,,,,
ATTR-QB-PS-NOTES,USD,Text,,Insert Notes Here,,Notes_and_Assumptions,true,false,Notes_and_Assumptions,Notes and Assumptions,,,,
