"Id","DisplayUrl","Name","StockKeepingUnit","Errors"
"01tak00000Q4YnJAAV","/resource/RLM_customer_snowflake_logo_sq","Snowflake — Standard Edition","SF-EDU-STD","#N/A"
"01tak00000Q4YnKAAV","/resource/RLM_customer_snowflake_logo_sq","Snowflake — Enterprise Edition","SF-EDU-ENT","#N/A"
"01tak00000Q4YnLAAV","/resource/RLM_customer_snowflake_logo_sq","Snowflake — Business Critical Edition","SF-EDU-BC","#N/A"
"01tak00000Q4YnMAAV","/resource/RLM_customer_snowflake_logo_sq","Snowflake — Virtual Private Snowflake","SF-EDU-VPS","#N/A"
"01tak00000Q4YnNAAV","/resource/RLM_customer_snowflake_logo_sq","Snowflake — Standard Success","SF-SUP-STD","#N/A"
"01tak00000Q4YnOAAV","/resource/RLM_customer_snowflake_logo_sq","Snowflake — Premier Success","SF-SUP-PREM","#N/A"
"01tak00000Q4WiHAAV","/resource/RLM_customer_snowflake_logo_sq","Snowflake — Starter Success Bundle","SF-BND-STARTER","#N/A"
"01tak00000Q4WiIAAV","/resource/RLM_customer_snowflake_logo_sq","Snowflake — Growth Premier Bundle","SF-BND-GROWTH","#N/A"
"01tak00000Q4YnPAAV","/resource/RLM_customer_snowflake_logo_sq","Snowflake — Quickstart Onboarding","SF-SVC-ONBOARD","#N/A"
"01tak00000Q4YnQAAV","/resource/RLM_customer_snowflake_logo_sq","Snowflake — Metered Optimized Storage","SF-USG-STORAGE","#N/A"
"01tak00000Q4YnRAAV","/resource/RLM_customer_snowflake_logo_sq","Snowflake — Metered Data Egress","SF-USG-EGRESS","#N/A"
"01tak00000Q4YnSAAV","/resource/RLM_customer_snowflake_logo_sq","Snowflake — Metered Compute Credits","SF-USG-COMPUTE","#N/A"
"01tak00000Q4YnTAAV","/resource/RLM_customer_snowflake_logo_sq","Snowflake — Usage Definition (Storage)","SF-BLNG-STORAGE","#N/A"
"01tak00000Q4YnUAAV","/resource/RLM_customer_snowflake_logo_sq","Snowflake — Usage Definition (Egress)","SF-BLNG-EGRESS","#N/A"
"01tak00000Q4YnVAAV","/resource/RLM_customer_snowflake_logo_sq","Snowflake — Usage Definition (Compute)","SF-BLNG-COMPUTE","#N/A"
