BasedOn.Code,CanRamp,ConfigureDuringSale,CurrencyIsoCode,Description,DisplayUrl,Family,IsActive,IsAssetizable,IsSoldOnlyWithOtherProds,Name,ProductCode,QuantityUnitOfMeasure,SpecificationType,StockKeepingUnit,Type,UnitOfMeasure.$$Name$UnitCode$UnitOfMeasureClass.Code$UnitOfMeasureClass.Name
,false,Allowed,USD,A program designed to detect and remove viruses and other kinds of malicious software from your computer or laptop.,https://www.shutterstock.com/image-photo/antivirus-cyber-security-data-protection-600nw-1402830170.jpg,Software,true,true,false,Antivirus,AV001,,Commercial,AV001,,
CMP001,false,Allowed,USD,Personal computing device designed to fit on top of a typical office desk,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSGp_xtbLqudSff6S0wbAzvn4631mcUDi3N8F52JbRkiw&s,Hardware,true,true,false,Desktop,DS001,,Commercial,DS001,,
KB001,false,Allowed,USD,"Input device used to enter characters and functions into the computer system by pressing buttons, or keys.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTKLysIqqUy8Oi_YGyYJharlia-J1WDMkpsKPzU9H3sNybhiwLXmMLSjU7K9lANZEFsyMQ&usqp=CAU,Hardware,true,true,false,Keyboard,KB001,,Commercial,KB001,,
CS001,false,Allowed,USD,Cloud computing model that enables storing data and files on the internet through a cloud computing,https://media.istockphoto.com/id/963131214/photo/cloud-computing.jpg?s=612x612&w=0&k=20&c=r6hJwUZSXlaPjpxNfUl3SxwQaZ-DDEQnxfrrMmYOJyA=,Service,false,true,false,Cloud Storage,CS001,,Commercial,CS001,,
CMP001,false,Allowed,USD,Battery- or AC-powered personal computer (PC) smaller than a briefcase,https://media.istockphoto.com/id/1023428598/photo/3d-illustration-laptop-isolated-on-white-background-laptop-with-empty-space-screen-laptop-at.jpg?s=612x612&w=0&k=20&c=ssK6er5v1fGpSghGiqySwoD8tn5blC7xgefQJI2xU38=,Hardware,true,true,false,Laptop,LP001,,Commercial,LP001,,
,false,Allowed,USD,"The laptop basic bundle includes a Laptop, mouse, and warranty for 1 year.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTbf49JG4zZogCmZMJuXU38qOkR9X36MN4bSw&usqp=CAU,Hardware,true,true,false,Laptop Basic Bundle,LB001,,Commercial,LB001,Bundle,
,false,Allowed,USD,"Laptop Care package with Warranty, Support and Basic Training",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDKganIBAKYF78LGme-XcgnxVwUuZFF39n9w&usqp=CAU,Service,true,true,false,Laptop Care Package,LCP001,,Commercial,LCP001,Bundle,
,false,Allowed,USD,"The laptop pro bundle includes a Laptop, mouse, warranty for 2 years, premium support and printer bundle",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSCrGjPR1fvJqg4yP3RMyqjI0H9eL6tk1fvzw&usqp=CAU,Hardware,true,true,false,Laptop Pro Bundle,LPB001,,Commercial,LPB001,Bundle,
MN001,false,Allowed,USD,"Table mounted high quality high resolution Monitor with 3 HDMI, 3 USB Ports",https://images.philips.com/is/image/PhilipsConsumer/24M1N3200ZA_94-IMS-en_IN?$jpglarge$&wid=960,Hardware,true,true,false,Monitor,MO001,,Commercial,MO001,,
M001,false,Allowed,USD,HeyMicky Mouse compatible comes with choice of USB or Wireless connectivity.,https://5.imimg.com/data5/IS/JP/MY-58678879/computer-mouse.jpg,Hardware,true,true,false,Mouse,MOU001,,Commercial,MOU001,,
PR001,false,Allowed,USD,Accepts text and graphic output from a computer and transfers the information to paper,https://in-media.apjonlinecdn.com/catalog/product/cache/b3b166914d87ce343d4dc5ec5117b502/5/4/54R58B-1_T1696992896.png,Hardware,true,true,false,Printer,PRN001,,Commercial,PRN001,,
,false,Allowed,USD,"The printer bundle includes various printer options, printer paper with various connectivity options","https://www.jiomart.com/images/product/original/rvh2zawkv5/se-online-multipurpose-a4-210x297mm-100gsm-double-sided-plain-white-paper-copy-printing-paper-pack-of-100-sheet-white-product-images-orvh2zawkv5-p605717531-5-202310221628.jpg?im=Resize=(420,420)",Hardware,true,true,false,Printer Bundle,PB001,,Commercial,PB001,Bundle,
P001,false,Allowed,USD,High Quality Printer Papers of various sizes. Each pack of 500 papers.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQylcHrD-KFEePiWUgmrL0fFj5Mmi5f1HgzUTeWxPr2ZQYU4G81KFCIzfDPRR6fDUmzOHE&usqp=CAU,Hardware,true,true,false,Printer Paper,PP001,,Commercial,PP001,,
SL001,false,Allowed,USD,Any type of Support for your products purchased from our portal. Choose between Premium and Premium Plus Support to make your life easier.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTlTy-f7-QgWQhj24Fgq2GAmhxXcFuI6HAT3g&usqp=CAU,Service,true,true,false,Support,SP001,,Commercial,SP001,,
TL001,false,Allowed,USD,Equipped with a wealth of skills,https://www.shutterstock.com/image-photo/call-center-manager-happy-team-260nw-2314271337.jpg,Service,true,true,false,Basic Training,TRG001,,Commercial,TRG001,,
,false,NotAllowed,USD,Promise by manufacturer regarding the condition of their product,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS268_nXXWpPWBN8xscScw-usavPnQ-Ym7Mn0dEwqk68w&s,Service,true,true,false,Warranty,W001,,Commercial,W001,,
,false,NotAllowed,USD,"Turns your laptop into a portable workstation, adding 4K video, Gigabit Ethernet, and two USB 3.0 ports",https://prod.isg.bruneau.media/asset/aHR0cHM6Ly9pbWFnZXMuaWNlY2F0LmJpei9pbWcvZ2FsbGVyeS8xMDUwMDQ3MThfODM2MTY0NTg2My5qcGc=?dpi=2.00&format=webp&height=477&quality=85&width=477,Miscellaneous,true,true,false,USB C multiport adapter hub with 4K HDMI,USB01,,Commercial,USB01,,
,false,NotAllowed,USD,Makes spoken communication possible without having to wear an earpiece.,https://media.istockphoto.com/id/182776995/photo/headset.jpg?s=612x612&w=0&k=20&c=JiwLaWc7dVPm7JjwxA5PV-CLDjY-Zg6xL4owoyGd9_M=,Miscellaneous,true,true,false,Headset,HDS001,,Commercial,HDS001,,
,false,Allowed,USD,Product bundle with root + 4 levels,,Support,true,true,false,Training Platform Package,TPP01,,Commercial,TPP01,Bundle,
,false,NotAllowed,USD,Model Training with Machine Learning - Data Science Primer,https://elitedatascience.com/wp-content/uploads/2018/05/Model-Training-Feature.jpg,Support,true,true,false,Machine Learning Model Training,LLMTRG001,,Commercial,LLMTRG001,,
,false,NotAllowed,USD,Access Complete Beginner to Advanced training,,Software,true,true,false,Udemy Access,UA001,,Commercial,UA001,,
,false,Allowed,USD,Skills development bundle includes various products to enhance your skills and uplift your profile.,https://cxotoday.com/wp-content/uploads/2022/06/CXO-Skills.jpeg,,true,true,false,Skill Development Package,SDP001,,Commercial,SDP001,Bundle,
,false,NotAllowed,USD,"The Certified Artificial Intelligence Expert certification is typically designed for individuals who have an in-depth understanding of artificial intelligence (AI) concepts, algorithms, and applications and want to validate their expertise in the field.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQsp4GoUP_nGiCXJ-wzYkPx-RlA_UCUX0zIDv3slxnJACqXaRd1vHJUZe6yQklUiXvEDgo&usqp=CAU,Support,true,true,false,AI Specialist Certification,ASTCERT001,,Commercial,ASTCERT001,,
,false,Allowed,USD,"Learning that qualifies you for more complex, responsible tasks in your area of expertise.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT0MVO7Xs5_ekbB3wf-zcdy-7BqUsuJtDJuh508G5T0P_sSj94AVtAlPp9Zmk8fJ6NQhns&usqp=CAU,Support,true,true,false,Advanced Training,ATRG001,,Commercial,ATRG001,Bundle,
,false,NotAllowed,USD,"The program teaches how to apply creative thinking, algorithmic design, and coding skills in developing modern Artificial Intelligence systems.",https://www.shutterstock.com/image-photo/elearning-technology-webinar-online-education-600nw-2324449597.jpg,Support,true,true,true,AI Specialist Training,APTRG001,,Commercial,APTRG001,,
,false,Allowed,USD,Foundational certification designed for professionals who want to demonstrate their knowledge and skills in managing and customizing Salesforce.,,Support,true,true,false,Admin Certification,ACERT001,,Commercial,ACERT001,,
,false,NotAllowed,USD,Professional competency certification Certifies the of Proficiency,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSrCsCPw3nqBeBajDYd6niLi-FFh8MpCWn9Sg&usqp=CAU,Support,true,true,false,Developer Certification,DCERT001,,Commercial,DCERT001,,
,false,NotAllowed,USD,Drive innovation with AI & Machine Learning by earning specialized certifications.,https://images.ctfassets.net/kcw3l04aboxk/2miJniBNNQbsepl8dA3IPk/01376e30b7db50e17112dfc3312bcd05/Artboard_11.png,Support,true,true,false,Specialized Certifications,CERT007,,Commercial,CERT007,Bundle,
,false,NotAllowed,USD,LLM Certification,https://www.lsac.org/general/images/law-programs/llm-degree-icon-color.png,Support,true,true,false,LLM Certification,LLMCERT001,,Commercial,LLMCERT001,,
SFT001,false,Allowed,USD,Quip Subscription,https://i.pcmag.com/imagery/reviews/05YKOGb3tKP8xIR9wNYkqas-9.fit_scale.size_1028x578.v1569479308.png,Software,true,true,false,Quip,QP001,,Commercial,QP001,,
,false,Allowed,USD,Grow your business with Workspace,https://www.modernmanagedit.com/product/google-workspace-business-starter/,Software,true,true,false,Google Workspace,GW001,,Commercial,GW001,,
,false,Allowed,USD,"Use ChatGPT in Google Workspace.
Boost your productivity with Gemini and ChatGPT directly inside your Google Docs, Sheets, Slides, Drive, and Gmail",https://images.app.goo.gl/z3RuPoHj8eSWq1f99,Software,true,true,false,GPT for workspace,GPTW001,,Commercial,GPTW001,,
,false,Allowed,USD,Lucidchart is an intelligent diagramming application that brings teams together to make better decisions and build the future.,https://images.app.goo.gl/iG63Lpj2xUc9jbuS7,Software,true,true,false,Lucidchart,LCD001,,Commercial,LCD001,,
,false,Allowed,USD,Maintenance product for hardware,,,true,true,false,Hardware Maintenance,MAIN0098,,Commercial,MAIN0098,,
,false,Allowed,USD,Slack Support - Derived Product,,,true,true,false,Slack Support,SLKDPP007,,Commercial,SLKDPP007,,
,false,Allowed,USD,"Slack Training, derived product.",,,true,true,false,Slack Training,SLKDPP008,,Commercial,SLKDPP008,,
,true,Allowed,USD,Slack Productivity Software,,,true,true,false,Slack,SLKSRC001,,Commercial,SLKSRC001,,
,false,Allowed,USD,"Slack Sandbox, derived product.",,,true,true,false,Slack Sandbox,SLKDPP009,,Commercial,SLKDPP009,,
,false,Allowed,USD,A Professional Certification is a credential awarded to individuals who have demonstrated a specific level of expertise and knowledge in a particular profession or industry.,,Support,true,true,false,Professional Certifications,PCERT001,,Commercial,PCERT001,Bundle,
,false,NotAllowed,USD,Premium Laptop bag with separate compartments for laptop and accessories.,https://gangslifestyle.com/cdn/shop/files/goldstorm-collegetravel-backpack-513.png?v=1706166408&width=1300,Miscellaneous,true,true,false,Laptop Bag,LBG001,,Commercial,LBG001,,
,false,Allowed,USD,"Portable 5TB External Hard Drive HDD – USB 3.0 for PC, Mac, PS4, & Xbox",https://m.media-amazon.com/images/I/81o5zJ+FcPL._AC_SL1500_.jpg,,true,true,false,External Hard Drive,EHD009,,Commercial,EHD009,,
SFT001,false,Allowed,USD,Figma Subscription,https://unsplash.com/photos/a-black-cell-phone-uT7l-Ds81YM,,true,true,false,Figma Subscription,FIG001,,Commercial,FIG001,,
MED01,false,Allowed,USD,Podcast Subscription,https://unsplash.com/photos/a-black-microphone-with-a-yellow-background-mw9u1Q38rl4,,true,true,false,Podcast Subscription,PS001,,Commercial,PS001,,
,false,Allowed,USD,"H1 Active Noise Cancelling Headphones with Microphone, Wireless Over Ear Bluetooth Headphones, 3D Deep Bass, Memory Foam Ear Cups,40H Playtime for Kids, TV, Travel, Online Class, Home Office.",https://m.media-amazon.com/images/I/6181wRqDwUL._AC_SL1500_.jpg,,true,true,false,Noise-Canceling Headphones,NCH025,,Commercial,NCH025,,
,false,NotAllowed,USD,"Ergonomic Laptop Stand for Desk, Adjustable Height Up to 20"", Laptop Riser Portable Computer, Laptop Stands, Fits All MacBook, Laptops 10 15 17 Inches.",https://m.media-amazon.com/images/I/71DpZNIFWKL._AC_SL1500_.jpg,,true,true,false,Laptop Stand,LPST001,,Commercial,LPST001,,
,false,Allowed,USD,"Laptop, Laptop Bag, Laptop stand, Mouse, Keyboard, USB-C Hub,External Hard Drive, Noise Cancelling Headphones, office 365",https://m.media-amazon.com/images/I/613Fno-NLYL._AC_SL1000_.jpg,,true,true,false,Laptop Productivity Bundle,LPB002,,Commercial,LPB002,Bundle,
