$$AttributeCategory.Name$AttributeDefinition.Name,AttributeCategory.Name,AttributeDefinition.Name
Connection Type;Wireless,Connection Type,Wireless
Training;Training,Training,Training
Display;Display,Display,Display
Processor;Windows_Processor,Processor,Windows_Processor
Graphics;Graphics,Graphics,Graphics
Display;Display_Size,Display,Display_Size
Memory;Memory,Memory,Memory
Paper;Paper Size,Paper,Paper Size
Printer;Printer,Printer,Printer
Storage;Storage,Storage,Storage
Support;Support_Level,Support,Support_Level
