Code,CurrencyIsoCode,DataType,DefaultHelpText,DefaultValue,Description,DeveloperName,IsActive,IsRequired,Label,Name,Picklist.Name,SourceSystemIdentifier,UnitOfMeasure.Name,ValueDescription
,USD,Picklist,,1080p Built-in Display,,Display,true,true,Display,Display,Display Picklist,,,
,USD,Picklist,,RAM 32GB,,Memory,true,true,Memory,Memory,Memory Picklist,,,
,USD,Picklist,,,,Printer_Paper,true,false,Printer Paper,Paper Size,Paper Size Picklist,,,
,USD,Picklist,,,,Storage,true,true,Storage,Storage,Storage Picklist,,,
,USD,Picklist,,i5-CPU 4.4GHz,,Windows_Processor,true,true,Processor,Windows_Processor,Processor Picklist,,,
,USD,Picklist,,,,Printer,true,false,Printer,Printer,Printer Picklist,,,
,USD,Picklist,,,,Graphics,true,false,Graphics,Graphics,Graphics Picklist,,,
,USD,Picklist,,,,Training,true,false,Training,Training,Training Type Picklist,,,
,USD,Picklist,,,,Display_Size,true,true,Screen Size,Display_Size,Display Size Picklist,,,
,USD,Picklist,,Premium Support,,Support_Level,true,false,Support_Level,Support_Level,Support Level Picklist,,,
,USD,Picklist,,i5-CPU 4.4GHz,,Processor,true,true,Processor,Processor,Processor Picklist,,,
SUBTYPE001,USD,Picklist,,,Subscription Type - either Enterprise or Business,SubscriptionType,true,true,Subscription Type,Subscription Type,Subscription Type,,,
,USD,Checkbox,,false,,Wireless,true,false,Wireless,Wireless,,,,
