ProductUsageResource.Product.StockKeepingUnit,ProductUsageResource.UsageResource.Code,RatingFrequencyPolicy.RatingPeriod,UsageAggregationPolicy.Code,UsageCommitmentPolicy.Name,UsageOveragePolicy.Name
QB-DB,UR-DATASTORAGE,Monthly,monthlytotal,,Default Usage Overage Policy
QB-DB,UR-CPUTIME,Monthly,monthlytotal,,Default Usage Overage Policy
QB-CMT-TKN-TIER,UR-DATASTORAGE-TKN,,,Lowest Rate,
QB-CMT-TKN-EACH,UR-DATASTORAGE-TKN,,,Lowest Rate,
QB-CMT-TKN-EACH,UR-CPUTIME-TKN,,,Lowest Rate,
QB-DB-TOKEN,UR-DATASTORAGE-TKN,Monthly,monthlytotal,,Default Usage Overage Policy
QB-CMT-TKN-FLAT,UR-CPUTIME-TKN,,,Lowest Rate,
QB-CMT-TKN-FLAT,UR-DATASTORAGE-TKN,,,Lowest Rate,
QB-CMT-TKN-TIER,UR-CPUTIME-TKN,,,Lowest Rate,
QB-QTY-CMT,UR-DATASTORAGE,,,Lowest Rate,
QB-QTY-CMT,UR-CPUTIME,,,Lowest Rate,
QB-DB-TOKEN,QB-TOKEN,,,,Default Usage Overage Policy
QB-DB-TOKEN,UR-CPUTIME-TKN,Monthly,monthlytotal,,Default Usage Overage Policy
QB-CMT-TKN-TIER,QB-TOKEN,,,Lowest Rate,
QB-CMT-TKN-FLAT,QB-TOKEN,,,Lowest Rate,
QB-CMT-TKN-EACH,QB-TOKEN,,,Lowest Rate,
QB-MTY-CMT,UR-USD,,,Lowest Rate,
QB-MTY-CMT,UR-CPUTIME-MTY,,,Lowest Rate,
QB-MTY-CMT,UR-DATASTORAGE-MTY,,,Lowest Rate,
